attack_class,method,metric,value,bins,n_clean,n_attack,status,source_path,scaling
DoS,PGD,js_pc1,0.0017583509555433796,40,133755,7548,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,CW,js_pc1,0.0007783330788351733,40,133755,7548,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,Latent-PGD,js_pc1,0.11886206107672496,40,133755,100,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_DoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,Latent-CW,js_pc1,0.10628127520073204,40,133755,100,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_DoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,cInput CPGD,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,cInput CCW,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,PGD,js_pc1,0.00029097563387593764,40,409984,23137,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,CW,js_pc1,0.00026038245665670103,40,409984,23137,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,Latent-PGD,js_pc1,0.03779132307845736,40,409984,100,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_DDoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,Latent-CW,js_pc1,0.037560965554702716,40,409984,100,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_DDoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,cInput CPGD,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,cInput CCW,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,PGD,js_pc1,0.005470471984757123,40,119992,6772,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,CW,js_pc1,0.0013411831269269203,40,119992,6772,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,Latent-PGD,js_pc1,0.5050696534846211,40,119992,100,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Mirai.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,Latent-CW,js_pc1,0.25777222795617516,40,119992,100,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Mirai.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,cInput CPGD,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,cInput CCW,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,PGD,js_pc1,0.012470619039715043,40,2504,141,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,CW,js_pc1,0.009996114376066316,40,2504,141,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,Latent-PGD,js_pc1,0.01358024961458871,40,2504,100,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_BruteForce.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,Latent-CW,js_pc1,0.03229486581813105,40,2504,100,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_BruteForce.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,cInput CPGD,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,cInput CCW,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,PGD,js_pc1,0.0008328431380919755,40,100705,5683,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,CW,js_pc1,0.000765783822355811,40,100705,5683,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,Latent-PGD,js_pc1,0.015474865489346746,40,100705,100,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Recon.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,Latent-CW,js_pc1,0.018767897905730635,40,100705,100,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Recon.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,cInput CPGD,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,cInput CCW,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
