attack_class,method,metric,value,ci_low,ci_high,bandwidth,subsample_n,seed,bootstrap_seed,status,source_path,scaling
DoS,PGD,mmd2_fullspace,0.009039187376175484,-0.007435914216136813,0.08835598801699483,34.88028838984739,100,42,1141317922.0,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,CW,mmd2_fullspace,-0.0006764105665377773,-0.008406868578356236,0.06329471298173905,37.69347676686563,100,42,1463788864.0,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,Latent-PGD,mmd2_fullspace,0.0689768364262372,0.014704496720580804,0.17786348206415395,33.85919928466366,100,42,3327435444.0,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_DoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,Latent-CW,mmd2_fullspace,0.06942247017185721,0.014211110235218921,0.1864654010238284,33.71803387540425,100,42,878842720.0,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_DoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,cInput CPGD,mmd2_fullspace,N/A,N/A,N/A,N/A,N/A,N/A,,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,cInput CCW,mmd2_fullspace,N/A,N/A,N/A,N/A,N/A,N/A,,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,PGD,mmd2_fullspace,-0.00822781871323397,-0.007120809684059487,0.02960950212518493,21.938276973855544,100,42,1994901214.0,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,CW,mmd2_fullspace,-0.0004663553858885727,-0.0060089628226237144,0.04737607192652098,17.3283344576399,100,42,1183519464.0,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,Latent-PGD,mmd2_fullspace,0.010698625756241142,-0.004478493029728298,0.0681193370194804,51.859590597170566,100,42,605108402.0,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_DDoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,Latent-CW,mmd2_fullspace,0.009432894359520105,-0.00390712755137011,0.06622572723659931,49.42080443467596,100,42,75908222.0,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_DDoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,cInput CPGD,mmd2_fullspace,N/A,N/A,N/A,N/A,N/A,N/A,,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,cInput CCW,mmd2_fullspace,N/A,N/A,N/A,N/A,N/A,N/A,,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,PGD,mmd2_fullspace,0.03475946460837287,-0.007251651366726441,0.14034689142812043,40.094182874363405,100,42,2507444010.0,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,CW,mmd2_fullspace,0.002773885129070619,-0.00765118378589909,0.0696176473875439,42.82822866448547,100,42,1507829875.0,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,Latent-PGD,mmd2_fullspace,0.04444850202951134,0.014444973572647997,0.12276625314529677,38.52423015656541,100,42,1443121087.0,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Mirai.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,Latent-CW,mmd2_fullspace,-0.0012644969043285048,-0.006754535720386129,0.05537284114535289,41.9372791517071,100,42,1055403264.0,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Mirai.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
