attack_class,method,wasserstein_pc1,wasserstein_pc1_ci_low,wasserstein_pc1_ci_high,wasserstein_mean_per_feature,validity_percent,validity_n,validity_scope,validity_model,validity_population,mahalanobis_mean,mahalanobis_covariance_mode,mahalanobis_covariance_estimator,mahalanobis_score_definition,mahalanobis_empirical_condition,mahalanobis_regularized_condition,mahalanobis_shrinkage_alpha,mahalanobis_reference_n,mahalanobis_latent_dim,mahalanobis_n,non_realism_flag,non_realism_marker,non_realism_reason,wasserstein_pc1_source,wasserstein_perfeature_source,validity_source,validity_bundle_source,mahalanobis_source,mahalanobis_diagnostics_source
DoS,PGD,0.8560085755927452,0.4628271569909024,3.7116430448049145,0.2767991205063285,0.0,7548,class_method_bundle,shared,PGD,48.637672442917314,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,12111.976587066809,1461.0972734490022,0.0062036117059266,40000,16,7548,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\PGD__shared__DoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
DoS,CW,0.6644210708913678,0.2502935312407244,3.405597511229327,0.0379090044773426,47.69475357710652,7548,class_method_bundle,shared,CW,10.117111161636883,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,12111.976587066809,1461.0972734490022,0.0062036117059266,40000,16,7548,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\CW__shared__DoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
DoS,Latent-PGD,13.095340339054784,6.785162777528912,19.461567580945918,0.5249903918034563,100.0,100,class_method_bundle,mlp,latentPGD_untgt,118.01795081081444,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,12111.976587066809,1461.0972734490022,0.0062036117059266,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentPGD_untgt__mlp__DoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
DoS,Latent-CW,13.039747555906072,6.253713529245237,19.73802612746205,0.5272167759075077,100.0,100,class_method_bundle,mlp,latentCW_untgt,14.698130632095795,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,12111.976587066809,1461.0972734490022,0.0062036117059266,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentCW_untgt__mlp__DoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
DDoS,PGD,0.5536205568833966,0.518364416086726,3.435330461963685,0.27135023768684524,0.0,23137,class_method_bundle,shared,PGD,100.28992423307064,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,34638.491790305685,5512.501154093548,0.0008844457980493,40000,16,23137,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\PGD__shared__DDoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
DDoS,CW,0.4072482982886073,0.3686871111167335,3.2796197528623527,0.07693868368627547,43.94692483900246,23137,class_method_bundle,shared,CW,23.545419621979526,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,34638.491790305685,5512.501154093548,0.0008844457980493,40000,16,23137,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\CW__shared__DDoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
DDoS,Latent-PGD,5.593191485635074,2.3976245738885478,15.112028769627466,0.372217479180367,100.0,100,class_method_bundle,mlp,latentPGD_untgt,1673.429498049397,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,34638.491790305685,5512.501154093548,0.0008844457980493,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentPGD_untgt__mlp__DDoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
DDoS,Latent-CW,5.5656237875956815,2.39540963837182,15.504824659911906,0.42081066253007493,100.0,100,class_method_bundle,mlp,latentCW_untgt,15.36157003005222,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,34638.491790305685,5512.501154093548,0.0008844457980493,40000,16,100,False,,,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\latentCW_untgt__mlp__DDoS.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Mirai,PGD,0.3539920151953374,0.4280224651542401,3.270258445977895,0.28127621029844857,0.0,6772,class_method_bundle,shared,PGD,115.42960288584771,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,91553.22976533193,8858.476109271998,0.0006149460545431,40000,16,6772,True,dagger,Collapsed-latent-dimension pathology; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\PGD__shared__Mirai.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
Mirai,CW,0.2165645339669531,0.2578593087473063,3.022196147553337,0.16187235022149385,0.7531010041346722,6772,class_method_bundle,shared,CW,25.708347856859866,tied,ledoit_wolf,squared_mahalanobis_min_over_centers,91553.22976533193,8858.476109271998,0.0006149460545431,40000,16,6772,True,dagger,Collapsed-latent-dimension pathology; large distance is not healthy novelty.,D:\thesis_final\wasserstein_pc1.csv,D:\thesis_final\wasserstein_perfeature.csv,D:\thesis_final\results\attacks\thesis_bundle.multimetric.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\bundles\CW__shared__Mirai.npz,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_l2_vs_maha.csv,D:\thesis_final\.worktrees\thesis-eval-suite\results\thesis_eval\data\F6_covariance_diagnostics.csv
