model,model_tag,attack,eps,sample_size,num_restarts,clean_acc,asr_raw,total_flipped,mean_linf_scaled,std_linf_scaled,mean_l2_scaled,std_l2_scaled,mean_linf_raw,std_linf_raw,mean_l2_raw,std_l2_raw,attack_file
LSTM,lstm,CW,0,25000,10,0.84792,0.27733748466836494,5879,0.23824924752471402,0.23396414196994467,0.560976854944133,0.5690658891450375,6854.331481103686,8447.090171379203,7471.238756678726,9160.854779557507,results\attacks\attack_lstm_8class_cw_0_r10.npz
LSTM,lstm,FGSM,0.05,25000,1,0.84792,0.17902632323804132,3795,0.0500009183088335,1.3146092572784008e-06,0.31225003014782693,2.994471332317577e-07,2446.9496017651345,0.0009920115342383154,3526.027841723535,0.009868536416002861,results\attacks\attack_lstm_8class_fgsm_0.05_r1.npz
LSTM,lstm,FGSM,0.10,25000,1,0.84792,0.3082838003585244,6535,0.10000020570672946,6.572748523821321e-07,0.624499744678518,1.9395445497403804e-07,4893.900358735422,0.0005711354635370754,7052.0556761505995,0.008373293541747739,results\attacks\attack_lstm_8class_fgsm_0.10_r1.npz
LSTM,lstm,FGSM,0.30,25000,1,0.84792,0.6111425606189264,12955,0.3000009297138871,1.3069618598912125e-06,1.8734996008791536,2.990852952286018e-07,14681.700606570332,0.0011179092901376956,21156.166491197237,0.009980019671191116,results\attacks\attack_lstm_8class_fgsm_0.30_r1.npz
LSTM,lstm,PGD,0.05,25000,10,0.84792,0.20407585621285027,4326,0.05000091365498491,1.3127320826209398e-06,0.31032873855490484,0.0048729779030780955,2434.0263848414697,68.66540872401896,3481.5284515587764,185.46321861355878,results\attacks\attack_lstm_8class_pgd_0.05_r10.npz
LSTM,lstm,PGD,0.10,25000,10,0.84792,0.3467779979243325,7351,0.10000020426798234,6.571763371577334e-07,0.6172488337227178,0.013020330978870695,4860.689562333602,176.25957928881724,6934.89590075782,430.91542233964435,results\attacks\attack_lstm_8class_pgd_0.10_r10.npz
LSTM,lstm,PGD,0.30,25000,10,0.84792,0.7648363053118219,16213,0.3000009225192837,1.3056215168097929e-06,1.8018356248739609,0.06066668818919583,14310.092486524532,1086.554947145933,19832.673900133665,2324.824072642506,results\attacks\attack_lstm_8class_pgd_0.30_r10.npz
MLP,mlp,CW,0,25000,10,0.84748,0.28012460471043565,5935,0.20314700986521056,0.21656745611381997,0.5217267315758513,0.5968984746449938,6940.877573751071,9179.991561016697,7996.6013808742855,10827.440699819375,results\attacks\attack_mlp_8class_cw_0_r10.npz
MLP,mlp,FGSM,0.05,25000,1,0.84748,0.12219757398404682,2589,0.05000091860423039,1.3147070816432968e-06,0.312250030038381,2.99394371520564e-07,2446.9495862295043,0.0009948668418079448,3526.027822347257,0.009870927434945612,results\attacks\attack_mlp_8class_fgsm_0.05_r1.npz
MLP,mlp,FGSM,0.10,25000,1,0.84748,0.18341435786095248,3886,0.10000020725934432,6.571317731421137e-07,0.6244997449094711,1.9403000164917407e-07,4893.900360377227,0.0005513616903726484,7052.055753136582,0.008406079986255947,results\attacks\attack_mlp_8class_fgsm_0.10_r1.npz
MLP,mlp,FGSM,0.30,25000,1,0.84748,0.4265351394723179,9037,0.3000009300699316,1.3070522130223923e-06,1.873499600434317,2.980158252274351e-07,14681.700603304298,0.0011310766427416752,21156.16650880978,0.00996968779275377,results\attacks\attack_mlp_8class_fgsm_0.30_r1.npz
MLP,mlp,PGD,0.05,25000,10,0.84748,0.14169065936659272,3002,0.05000086672929523,1.2904221883558724e-06,0.3039549713084833,0.014901600768163445,2417.396589268039,144.37280187100907,3438.853218423439,288.7033956215162,results\attacks\attack_mlp_8class_pgd_0.05_r10.npz
MLP,mlp,PGD,0.10,25000,10,0.84748,0.2620946807004295,5553,0.10000020103907824,6.509599742042809e-07,0.5986308265622623,0.03794983617650362,4816.599881033303,318.3748448696972,6766.125427685798,673.5054210431775,results\attacks\attack_mlp_8class_pgd_0.10_r10.npz
MLP,mlp,PGD,0.30,25000,10,0.84748,0.7763251050172275,16448,0.3000008924304638,1.2938589410101742e-06,1.6962332104884426,0.11775933312775072,14151.777274450318,1432.7636109805767,19225.461703623543,2724.169623843452,results\attacks\attack_mlp_8class_pgd_0.30_r10.npz
CNN-LSTM,serial,CW,0,25000,10,0.84168,0.4293793365649653,9035,0.20354573508969293,0.2037298050073562,0.4190106609197759,0.36197544100960466,5268.985867932638,5553.309573756673,5842.805298838178,6160.848123693429,results\attacks\attack_serial_8class_cw_0_r10.npz
CNN-LSTM,serial,FGSM,0.05,25000,1,0.84168,0.13392263092861895,2818,0.050000918307985705,1.314611985147786e-06,0.31225002983416217,3.0067477873154517e-07,2446.949588801029,0.0009989833219508685,3526.0278289503294,0.009868328314068826,results\attacks\attack_serial_8class_fgsm_0.05_r1.npz
CNN-LSTM,serial,FGSM,0.10,25000,1,0.84168,0.2702689858378481,5687,0.10000020533522518,6.572800480060932e-07,0.6244997442112848,1.9369320649680477e-07,4893.900355535947,0.0005935355993905562,7052.055656771868,0.008366900249551817,results\attacks\attack_serial_8class_fgsm_0.10_r1.npz
CNN-LSTM,serial,FGSM,0.30,25000,1,0.84168,0.4152171846782625,8737,0.30000092971497055,1.3069421813639463e-06,1.8734996004435365,2.9890436956125534e-07,14681.70048649429,0.001289182501415536,21156.166369053924,0.009979982992063978,results\attacks\attack_serial_8class_fgsm_0.30_r1.npz
CNN-LSTM,serial,PGD,0.05,25000,10,0.84168,0.22065393023476856,4643,0.050000881435789055,1.2982690033438624e-06,0.28726556194919717,0.021298135235742362,2407.2158951858596,133.43789212447157,3398.5492856403307,288.36183198828866,results\attacks\attack_serial_8class_pgd_0.05_r10.npz
