Model,Attack,Eps,Clean Acc,ASR_raw,Samples Flipped,Mean L_inf,Mean L2,Elapsed Sec
binary,FGSM,0.05,0.96766,0.022962610834383976,1111,0.040362365543842316,0.2519514262676239,0.08581299998331815
binary,FGSM,0.10,0.96766,0.04846743690965835,2345,0.08072419464588165,0.503902792930603,0.08131929999217391
binary,FGSM,0.30,0.96766,0.28131781824194446,13611,0.24217236042022705,1.5117080211639404,0.0870547000085935
binary,PGD,0.05,0.96766,0.025980199656904283,1257,0.0497569665312767,0.28500422835350037,1.3666226000059396
binary,PGD,0.10,0.96766,0.05857429262344212,2834,0.09951294213533401,0.5656040906906128,1.326437000068836
binary,PGD,0.30,0.96766,0.37808734472852035,18293,0.2985278069972992,1.655646562576294,1.4009902001125738
binary,CW,N/A,0.9679,0.13627440851327616,1319,0.09179700911045074,0.2652292847633362,2.566319499979727
8class,FGSM,0.05,0.84572,0.12245187532516673,5178,0.050000932067632675,0.312250018119812,0.09357849997468293
8class,FGSM,0.10,0.84572,0.18285011587759542,7732,0.10000020265579224,0.6244997382164001,0.09271679993253201
8class,FGSM,0.30,0.84572,0.4305916851913163,18208,0.3000009059906006,1.8734990358352661,0.09603610006161034
8class,PGD,0.05,0.84572,0.1384855507733056,5856,0.0500008799135685,0.3046913743019104,1.3953457000898197
8class,PGD,0.10,0.84572,0.23991391950054392,10145,0.10000019520521164,0.6014982461929321,1.3688881000271067
8class,PGD,0.30,0.84572,0.7461098235822731,31550,0.3000009059906006,1.743918538093567,1.3635264000622556
8class,CW,N/A,0.8486,0.28446853641291536,2414,0.20391546189785004,0.5242168307304382,1.8619432999985293
34class,FGSM,0.05,0.74854,0.2607743073182462,9760,0.05000092461705208,0.312250018119812,0.09023750002961606
34class,FGSM,0.10,0.74854,0.34841157453175514,13040,0.10000020265579224,0.6244997382164001,0.08661160001065582
34class,FGSM,0.30,0.74854,0.6920672241964357,25902,0.300000935792923,1.8734990358352661,0.0789191999938339
34class,PGD,0.05,0.74854,0.29753920966147435,11136,0.05000089854001999,0.3045341968536377,1.254393900046125
34class,PGD,0.10,0.74854,0.41261656023726184,15443,0.10000020265579224,0.5990214943885803,1.1267291000112891
34class,PGD,0.30,0.74854,0.883319528682502,33060,0.3000008463859558,1.7417070865631104,0.9711492999922484
34class,CW,N/A,0.745,0.41946308724832215,3125,0.1163601353764534,0.2966044545173645,1.7073899999959394
