model,model_tag,task,attack,eps,num_restarts,sample_size,clean_acc,asr_raw,samples_flipped,mean_linf_scaled,mean_l2_scaled,restart_flipped_mean,restart_flipped_std,elapsed_sec,output_file
MLP,mlp,8class,FGSM,0.05,1,25000,0.84748,0.12219757398404682,2589,0.05000092461705208,0.3122500479221344,2589.0,0.0,0.04825140000320971,results\attacks\attack_mlp_8class_fgsm_0.05_r1.npz
MLP,mlp,8class,FGSM,0.10,1,25000,0.84748,0.18341435786095248,3886,0.10000021755695343,0.6244996786117554,3886.0,0.0,0.04177080001682043,results\attacks\attack_mlp_8class_fgsm_0.10_r1.npz
MLP,mlp,8class,FGSM,0.30,1,25000,0.84748,0.4265351394723179,9037,0.300000935792923,1.8734992742538452,9037.0,0.0,0.04425859998445958,results\attacks\attack_mlp_8class_fgsm_0.30_r1.npz
MLP,mlp,8class,PGD,0.05,10,25000,0.84748,0.14169065936659272,3002,0.0500008687376976,0.30395495891571045,2946.2,3.249615361854384,7.821550599997863,results\attacks\attack_mlp_8class_pgd_0.05_r10.npz
MLP,mlp,8class,PGD,0.10,10,25000,0.84748,0.2620946807004295,5553,0.10000020265579224,0.5986307859420776,5104.9,12.840950120610232,7.921822900068946,results\attacks\attack_mlp_8class_pgd_0.10_r10.npz
MLP,mlp,8class,PGD,0.30,10,25000,0.84748,0.7763251050172275,16448,0.3000009059906006,1.6962331533432007,15796.2,24.391801901458614,7.933971000020392,results\attacks\attack_mlp_8class_pgd_0.30_r10.npz
MLP,mlp,8class,CW,N/A,10,25000,0.84748,0.28012460471043565,5935,0.2031470090150833,0.5217267274856567,5935.0,0.0,45.12946760002524,results\attacks\attack_mlp_8class_cw_0_r10.npz
LSTM,lstm,8class,FGSM,0.05,1,25000,0.84792,0.17902632323804132,3795,0.05000092461705208,0.312250018119812,3795.0,0.0,0.1504848999902606,results\attacks\attack_lstm_8class_fgsm_0.05_r1.npz
LSTM,lstm,8class,FGSM,0.10,1,25000,0.84792,0.3082838003585244,6535,0.10000020265579224,0.6244996786117554,6535.0,0.0,0.146341499988921,results\attacks\attack_lstm_8class_fgsm_0.10_r1.npz
LSTM,lstm,8class,FGSM,0.30,1,25000,0.84792,0.6111425606189264,12955,0.300000935792923,1.8734992742538452,12955.0,0.0,0.123968799947761,results\attacks\attack_lstm_8class_fgsm_0.30_r1.npz
LSTM,lstm,8class,PGD,0.05,10,25000,0.84792,0.20407585621285027,4326,0.05000091344118118,0.31032872200012207,4300.3,3.6891733491393435,28.6476647000527,results\attacks\attack_lstm_8class_pgd_0.05_r10.npz
LSTM,lstm,8class,PGD,0.10,10,25000,0.84792,0.3467779979243325,7351,0.10000020265579224,0.6172487735748291,7143.5,9.531526635329726,27.385798100032844,results\attacks\attack_lstm_8class_pgd_0.10_r10.npz
LSTM,lstm,8class,PGD,0.30,10,25000,0.84792,0.7648363053118219,16213,0.3000009059906006,1.801835298538208,15438.1,12.477579893553076,27.659242299967445,results\attacks\attack_lstm_8class_pgd_0.30_r10.npz
LSTM,lstm,8class,CW,N/A,10,25000,0.84792,0.27733748466836494,5879,0.2382492572069168,0.5609768629074097,5879.0,0.0,84.26385559991468,results\attacks\attack_lstm_8class_cw_0_r10.npz
CNN-LSTM,serial,8class,FGSM,0.05,1,25000,0.84168,0.13392263092861895,2818,0.05000092461705208,0.312250018119812,2818.0,0.0,2.4540468000341207,results\attacks\attack_serial_8class_fgsm_0.05_r1.npz
CNN-LSTM,serial,8class,FGSM,0.10,1,25000,0.84168,0.2702689858378481,5687,0.10000021755695343,0.6244996786117554,5687.0,0.0,2.277518799994141,results\attacks\attack_serial_8class_fgsm_0.10_r1.npz
CNN-LSTM,serial,8class,FGSM,0.30,1,25000,0.84168,0.4152171846782625,8737,0.300000935792923,1.8734992742538452,8737.0,0.0,2.2748491000384092,results\attacks\attack_serial_8class_fgsm_0.30_r1.npz
CNN-LSTM,serial,8class,PGD,0.05,10,25000,0.84168,0.22065393023476856,4643,0.0500008799135685,0.2872655391693115,4190.2,17.06341114783325,606.6085138999624,results\attacks\attack_serial_8class_pgd_0.05_r10.npz
CNN-LSTM,serial,8class,PGD,0.10,10,25000,0.84168,0.5383518676931851,11328,0.09999582916498184,0.5164839625358582,9266.1,29.011894112587687,597.7231626999564,results\attacks\attack_serial_8class_pgd_0.10_r10.npz
CNN-LSTM,serial,8class,PGD,0.30,10,25000,0.84168,0.9426860564585116,19836,0.29997166991233826,1.2561863660812378,17186.3,30.275567707311453,587.6101406000089,results\attacks\attack_serial_8class_pgd_0.30_r10.npz
CNN-LSTM,serial,8class,CW,N/A,10,25000,0.84168,0.4293793365649653,9035,0.20354574918746948,0.4190106689929962,9035.0,0.0,1392.724188699969,results\attacks\attack_serial_8class_cw_0_r10.npz
