model,model_tag,attack,eps,feature_name,mean_abs_delta_raw,std_abs_delta_raw,min_abs_delta_raw,max_abs_delta_raw,mean_abs_delta_raw_flipped,std_abs_delta_raw_flipped,feature_rank
LSTM,lstm,CW,0,Tot sum,6079.683734845475,8550.46110153795,0.0,39320.902410149574,12116.977186712365,11140.258894834471,1
LSTM,lstm,CW,0,Variance,2925.03709000093,4256.83562225632,0.0,25784.423920721747,6474.932148385192,4959.201397183248,2
LSTM,lstm,CW,0,Rate,966.2454967586805,1422.6967272848522,0.0,11634.007599406623,1809.9047201404233,1715.3515290843131,3
LSTM,lstm,CW,0,Max,68.65039644230725,104.2124975085968,0.0,615.9640996456146,130.2829198219388,125.99244505097124,4
LSTM,lstm,CW,0,Tot size,50.63433733137064,78.82064947113024,0.0,383.6874507665634,111.21940084661668,103.06999136319544,5
LSTM,lstm,CW,0,AVG,48.821024284553836,76.69122772506381,0.0,375.08141934871674,104.86576015053163,101.40345049512507,6
LSTM,lstm,CW,0,Number,11.788651547473087,15.61134329139098,0.0,67.44340002536774,25.461260385000134,18.134008575590347,7
LSTM,lstm,CW,0,Std,10.831909310260622,20.330794914216305,0.0,123.38532843514588,24.58185084461272,29.973721556512896,8
LSTM,lstm,CW,0,Header_Length,1.776063728239873,2.3090940208318727,0.0,12.08873885626042,3.4237738228038106,2.817997329970097,9
LSTM,lstm,CW,0,Protocol Type,1.1346166710537693,1.62972264385431,0.0,7.429253339767456,2.40493075859663,1.7493659363525995,10
LSTM,lstm,CW,0,Min,0.3813736751481076,0.5824414276405433,0.0,4.951243758201599,0.608682824867732,0.6843833640801757,11
LSTM,lstm,CW,0,ack_count,0.3796561710224576,0.47805643768881684,0.0,3.231312483549118,0.6316048448891372,0.5166626559954256,12
LSTM,lstm,CW,0,SSH,0.18694556472210913,0.21946074734104254,0.0,1.0470476150512695,0.3638040996704353,0.23404136211325582,13
LSTM,lstm,CW,0,DNS,0.10138151807363,0.14745796879486725,0.0,0.6685578227043152,0.20308982803467515,0.17779617703676595,14
LSTM,lstm,CW,0,ICMP,0.09637929768686707,0.12566914079658117,0.0,0.743229478597641,0.16832264526494348,0.13304884195289307,15
LSTM,lstm,CW,0,psh_flag_number,0.09216967492575932,0.12853047400179152,0.0,1.0268341302871704,0.14642913962018134,0.1548185803846995,16
LSTM,lstm,CW,0,UDP,0.08546346254182237,0.13933075238342463,0.0,0.794145405292511,0.15159991071554316,0.15630121738081768,17
LSTM,lstm,CW,0,HTTPS,0.08479689181515263,0.10868573702860523,0.0,0.7107131481170654,0.15185143037157153,0.11172759127647468,18
LSTM,lstm,CW,0,HTTP,0.08201349429529495,0.12595709927618945,0.0,0.8103010654449463,0.1420543891225665,0.16726432165014343,19
LSTM,lstm,CW,0,fin_flag_number,0.06435013974652072,0.10606924311481698,0.0,0.6699867844581604,0.12156709951928793,0.12901431438905822,20
LSTM,lstm,CW,0,rst_flag_number,0.05976919240798699,0.0838262224047906,0.0,0.5399250388145447,0.10954586174620268,0.10298406863771377,21
LSTM,lstm,CW,0,syn_flag_number,0.05805746677058109,0.07841901016389291,0.0,0.4963313043117523,0.11288574768509718,0.09273571043041959,22
LSTM,lstm,CW,0,ARP,0.05804382189428099,0.08447436554104772,0.0,0.41419801115989685,0.13053212213848975,0.10161304320343059,23
LSTM,lstm,CW,0,LLC,0.04920238973223859,0.07233476377090516,0.0,0.36094537377357483,0.10089504305730072,0.08072672156588338,24
LSTM,lstm,CW,0,IPv,0.048938075545508906,0.0655957111852167,0.0,0.37123164534568787,0.09985560727295725,0.07055596858529442,25
LSTM,lstm,CW,0,rst_count,0.03764441452783336,0.050838049917458765,0.0,0.39975547790527344,0.05717880257313665,0.056183347242891764,26
LSTM,lstm,CW,0,Time_To_Live,0.03698298487506035,0.08527827537294723,0.0,0.5238836820135475,0.08910731642849613,0.1346555514900204,27
LSTM,lstm,CW,0,syn_count,0.03334915061337728,0.04556337826326361,0.0,0.46600520610809326,0.05587916991032638,0.04246428646332182,28
LSTM,lstm,CW,0,TCP,0.03286064813002813,0.05743674544400647,0.0,0.35315316915512085,0.05999465891710145,0.06252633163321925,29
LSTM,lstm,CW,0,ack_flag_number,0.0327975027583386,0.04877170274678845,0.0,0.48578840494155884,0.0692789196056889,0.05778553664589382,30
LSTM,lstm,CW,0,fin_count,0.02529386642900019,0.040235525290174254,0.0,0.3465644419193268,0.036738496993302935,0.03939168923489575,31
LSTM,lstm,CW,0,ece_flag_number,0.012622662452625036,0.017730531127580048,0.0,0.16846683621406555,0.026434087538565482,0.021272058120633958,32
LSTM,lstm,CW,0,cwr_flag_number,0.010549959947437673,0.016443722796252253,0.0,0.20403122901916504,0.01849821519470011,0.01825177157644295,33
LSTM,lstm,CW,0,IRC,0.010480535169281793,0.01702763192573438,0.0,0.19724585115909576,0.021653632737667898,0.02207835090919562,34
LSTM,lstm,CW,0,IGMP,0.008726510760529927,0.013836629451181961,0.0,0.16340938210487366,0.017465435801211,0.01915434321507408,35
LSTM,lstm,CW,0,Telnet,0.008279928256685599,0.013762642128595648,0.0,0.11438910663127899,0.012736880282141783,0.016724018654411754,36
LSTM,lstm,CW,0,SMTP,0.007195745181445091,0.011262477117925544,0.0,0.1272791177034378,0.011225045678388026,0.013647982432978743,37
LSTM,lstm,CW,0,DHCP,0.007183111578181761,0.012958733240780753,0.0,0.2068074494600296,0.01538845820671744,0.019740759081043006,38
LSTM,lstm,CW,0,IAT,4.8758709459313213e-05,7.161209165619914e-05,0.0,0.00038998789369457446,9.250656453619992e-05,8.119429667082797e-05,39
LSTM,lstm,FGSM,0.05,Tot sum,2446.9496017656757,0.0009920115342383358,2446.9476664066315,2446.953500390053,2446.95003527228,0.00016154481721358146,1
LSTM,lstm,FGSM,0.05,Variance,2215.7675885747344,0.01578633394317086,2215.2256429195404,2215.90184122324,2215.7667564283774,0.007303160397663714,2
LSTM,lstm,FGSM,0.05,Rate,1237.5943930487422,0.0010833692866436162,1237.5755829701666,1237.5991882113158,1237.5942834494172,0.0011159870405812807,3
LSTM,lstm,FGSM,0.05,Max,50.69999180494778,3.1009248630387255e-05,50.69995164871216,50.70019340515137,50.69999502586724,2.0974308595668973e-05,4
LSTM,lstm,FGSM,0.05,Tot size,25.89999688974361,1.2459491679849352e-05,25.899975299835205,25.90009880065918,25.899999707946904,6.967014032842488e-06,5
LSTM,lstm,FGSM,0.05,AVG,25.899996884934435,1.245734609915441e-05,25.899975299835205,25.90009880065918,25.89999971048933,6.953868928907889e-06,6
LSTM,lstm,FGSM,0.05,Std,10.525602668003224,9.076980911595067e-06,10.525442877144087,10.525643637098256,10.525603654567004,6.223829838109147e-06,7
LSTM,lstm,FGSM,0.05,Number,4.499999727148936,1.4606034924974603e-06,4.499995708465576,4.500001072883606,4.499999752010517,1.3004584169106464e-06,8
LSTM,lstm,FGSM,0.05,Header_Length,0.603999862753161,3.0524170553123555e-07,0.6039994201660193,0.6040001401901236,0.603999971226961,2.192796228871499e-07,9
LSTM,lstm,FGSM,0.05,Protocol Type,0.5499999213857949,2.342167130625079e-07,0.549999475479126,0.5500001311302185,0.5499999255913756,2.1887647322787984e-07,10
LSTM,lstm,FGSM,0.05,ack_count,0.35000013198524715,4.7095695994322435e-07,0.34999966621398926,0.35000133514404297,0.3499999987081734,2.2927551058274908e-07,11
LSTM,lstm,FGSM,0.05,Min,0.3000011336150765,4.9473645376361114e-06,0.2999267578125,0.300018310546875,0.3000000372823519,9.049332652420225e-07,12
LSTM,lstm,FGSM,0.05,Time_To_Live,0.09550016492831713,8.865975614952959e-07,0.09549872588831931,0.0955060119740665,0.09550011164362907,5.751628531608687e-07,13
LSTM,lstm,FGSM,0.05,syn_count,0.050000395672917364,1.0397430501653828e-06,0.049999237060546875,0.0500030517578125,0.050000593349906926,1.2182317657771387e-06,14
LSTM,lstm,FGSM,0.05,rst_count,0.05000014369726181,6.772681109172558e-07,0.049999237060546875,0.0500030517578125,0.050000000666527565,1.2996990464470527e-07,15
LSTM,lstm,FGSM,0.05,fin_count,0.05000014051914215,6.435717639196036e-07,0.049999237060546875,0.0500030517578125,0.05000000055265835,1.3703794911977195e-08,16
LSTM,lstm,FGSM,0.05,ICMP,0.05000000175729394,3.243288828024632e-09,0.04999995231628418,0.050000011920928955,0.05000000074505806,0.0,17
LSTM,lstm,FGSM,0.05,fin_flag_number,0.05000000126630068,2.3566175639683113e-09,0.05000000074505806,0.050000011920928955,0.05000000074505806,0.0,18
LSTM,lstm,FGSM,0.05,psh_flag_number,0.050000001243203876,3.6765406177700092e-09,0.04999995231628418,0.050000011920928955,0.05000000073229686,1.7028587698357587e-09,19
LSTM,lstm,FGSM,0.05,SSH,0.050000000749081376,2.1200906925317848e-10,0.05000000074505806,0.050000011920928955,0.05000000074505806,0.0,20
LSTM,lstm,FGSM,0.05,IGMP,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,21
LSTM,lstm,FGSM,0.05,SMTP,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,22
LSTM,lstm,FGSM,0.05,ece_flag_number,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,23
