Model,Attack,Eps,ASR_raw,Validity Rate,ASR_valid,Gap (raw-valid),Clean Validity Rate,Validity Among Successful,Samples Originally Correct,Successful Raw,Successful Valid
34class,CW,0.0,0.41946308724832215,0.3898,0.0006711409395973154,0.41879194630872485,1.0,0.0016,7450,3125,5
34class,FGSM,0.05,0.2607743073182462,0.0,0.0,0.2607743073182462,1.0,0.0,37427,9760,0
34class,FGSM,0.1,0.34841157453175514,0.0,0.0,0.34841157453175514,1.0,0.0,37427,13040,0
34class,FGSM,0.3,0.6920672241964357,0.0,0.0,0.6920672241964357,1.0,0.0,37427,25902,0
34class,PGD,0.05,0.29753920966147435,4e-05,2.671867902850883e-05,0.29751249098244587,1.0,8.979885057471264e-05,37427,11136,1
34class,PGD,0.1,0.41261656023726184,0.0,0.0,0.41261656023726184,1.0,0.0,37427,15443,0
34class,PGD,0.3,0.883319528682502,0.0,0.0,0.883319528682502,1.0,0.0,37427,33060,0
8class,CW,0.0,0.28446853641291536,0.3465,0.0,0.28446853641291536,1.0,0.0,8486,2414,0
8class,FGSM,0.05,0.12245187532516673,0.0,0.0,0.12245187532516673,1.0,0.0,42286,5178,0
8class,FGSM,0.1,0.18285011587759542,0.0,0.0,0.18285011587759542,1.0,0.0,42286,7732,0
8class,FGSM,0.3,0.4305916851913163,0.0,0.0,0.4305916851913163,1.0,0.0,42286,18208,0
8class,PGD,0.05,0.1384855507733056,6e-05,4.7296977723123494e-05,0.13843825379558247,1.0,0.00034153005464480874,42286,5856,2
8class,PGD,0.1,0.23991391950054392,0.0,0.0,0.23991391950054392,1.0,0.0,42286,10145,0
8class,PGD,0.3,0.7461098235822731,0.0,0.0,0.7461098235822731,1.0,0.0,42286,31550,0
binary,CW,0.0,0.13627440851327616,0.6478,0.0,0.13627440851327616,1.0,0.0,9679,1319,0
binary,FGSM,0.05,0.022962610834383976,0.19278,0.0,0.022962610834383976,1.0,0.0,48383,1111,0
binary,FGSM,0.1,0.04846743690965835,0.19278,0.0,0.04846743690965835,1.0,0.0,48383,2345,0
binary,FGSM,0.3,0.28131781824194446,0.19278,0.0,0.28131781824194446,1.0,0.0,48383,13611,0
binary,PGD,0.05,0.025980199656904283,0.00012,4.133683318520968e-05,0.025938862823719072,1.0,0.0015910898965791568,48383,1257,2
binary,PGD,0.1,0.05857429262344212,2e-05,0.0,0.05857429262344212,1.0,0.0,48383,2834,0
binary,PGD,0.3,0.37808734472852035,0.0,0.0,0.37808734472852035,1.0,0.0,48383,18293,0
