model,attack_type,category,ASR_Valid
MLP,latent_pgd,Benign,62.5
MLP,latent_pgd,BruteForce,85.5
MLP,latent_pgd,DDoS,19.5
MLP,latent_pgd,DoS,52.0
MLP,latent_pgd,Mirai,1.0
MLP,latent_pgd,Recon,19.5
MLP,latent_pgd,Spoofing,31.0
MLP,latent_pgd,Web,97.0
MLP,latent_cw,Benign,46.0
MLP,latent_cw,BruteForce,87.5
MLP,latent_cw,DDoS,26.5
MLP,latent_cw,DoS,48.0
MLP,latent_cw,Mirai,1.5
MLP,latent_cw,Recon,11.5
MLP,latent_cw,Spoofing,57.99999999999999
MLP,latent_cw,Web,96.5
MLP,input_pgd,Benign,0.0
MLP,input_pgd,BruteForce,0.0
MLP,input_pgd,DDoS,0.0
MLP,input_pgd,DoS,0.0
MLP,input_pgd,Mirai,0.0
MLP,input_pgd,Recon,0.0
MLP,input_pgd,Spoofing,0.0
MLP,input_pgd,Web,0.0
MLP,input_cw,Benign,35.5
MLP,input_cw,BruteForce,84.5
MLP,input_cw,DDoS,9.5
MLP,input_cw,DoS,40.0
MLP,input_cw,Mirai,0.0
MLP,input_cw,Recon,7.5
MLP,input_cw,Spoofing,17.5
MLP,input_cw,Web,95.0
CNN,latent_pgd,Benign,68.0
CNN,latent_pgd,BruteForce,100.0
CNN,latent_pgd,DDoS,26.0
CNN,latent_pgd,DoS,55.00000000000001
CNN,latent_pgd,Mirai,2.0
CNN,latent_pgd,Recon,26.5
CNN,latent_pgd,Spoofing,48.0
CNN,latent_pgd,Web,100.0
CNN,latent_cw,Benign,55.50000000000001
CNN,latent_cw,BruteForce,100.0
CNN,latent_cw,DDoS,24.0
CNN,latent_cw,DoS,50.5
CNN,latent_cw,Mirai,5.5
CNN,latent_cw,Recon,20.5
CNN,latent_cw,Spoofing,46.0
CNN,latent_cw,Web,100.0
CNN,input_pgd,Benign,0.0
CNN,input_pgd,BruteForce,0.0
CNN,input_pgd,DDoS,0.0
CNN,input_pgd,DoS,0.0
CNN,input_pgd,Mirai,0.0
CNN,input_pgd,Recon,0.0
CNN,input_pgd,Spoofing,0.0
CNN,input_pgd,Web,0.0
CNN,input_cw,Benign,44.5
CNN,input_cw,BruteForce,100.0
CNN,input_cw,DDoS,10.5
CNN,input_cw,DoS,42.0
CNN,input_cw,Mirai,1.0
CNN,input_cw,Recon,8.5
CNN,input_cw,Spoofing,19.5
CNN,input_cw,Web,100.0
LSTM,latent_pgd,Benign,70.5
LSTM,latent_pgd,BruteForce,86.5
LSTM,latent_pgd,DDoS,24.5
LSTM,latent_pgd,DoS,53.5
LSTM,latent_pgd,Mirai,1.0
LSTM,latent_pgd,Recon,17.5
LSTM,latent_pgd,Spoofing,44.5
LSTM,latent_pgd,Web,97.0
LSTM,latent_cw,Benign,48.0
LSTM,latent_cw,BruteForce,87.0
LSTM,latent_cw,DDoS,28.999999999999996
LSTM,latent_cw,DoS,48.0
LSTM,latent_cw,Mirai,1.5
LSTM,latent_cw,Recon,12.0
LSTM,latent_cw,Spoofing,63.5
LSTM,latent_cw,Web,97.0
LSTM,input_pgd,Benign,0.0
LSTM,input_pgd,BruteForce,0.0
LSTM,input_pgd,DDoS,0.0
LSTM,input_pgd,DoS,0.0
LSTM,input_pgd,Mirai,0.0
LSTM,input_pgd,Recon,0.0
LSTM,input_pgd,Spoofing,0.0
LSTM,input_pgd,Web,0.0
LSTM,input_cw,Benign,35.5
LSTM,input_cw,BruteForce,85.0
LSTM,input_cw,DDoS,10.0
LSTM,input_cw,DoS,38.0
LSTM,input_cw,Mirai,0.0
LSTM,input_cw,Recon,7.000000000000001
LSTM,input_cw,Spoofing,18.0
LSTM,input_cw,Web,96.5
CNN-LSTM,latent_pgd,Benign,80.0
CNN-LSTM,latent_pgd,BruteForce,100.0
CNN-LSTM,latent_pgd,DDoS,33.5
CNN-LSTM,latent_pgd,DoS,45.0
CNN-LSTM,latent_pgd,Mirai,1.5
CNN-LSTM,latent_pgd,Recon,18.0
CNN-LSTM,latent_pgd,Spoofing,41.0
CNN-LSTM,latent_pgd,Web,97.5
CNN-LSTM,latent_cw,Benign,54.50000000000001
CNN-LSTM,latent_cw,BruteForce,100.0
CNN-LSTM,latent_cw,DDoS,24.5
CNN-LSTM,latent_cw,DoS,41.5
CNN-LSTM,latent_cw,Mirai,1.5
CNN-LSTM,latent_cw,Recon,12.0
CNN-LSTM,latent_cw,Spoofing,54.50000000000001
CNN-LSTM,latent_cw,Web,99.0
CNN-LSTM,input_pgd,Benign,0.0
CNN-LSTM,input_pgd,BruteForce,0.0
CNN-LSTM,input_pgd,DDoS,0.0
CNN-LSTM,input_pgd,DoS,0.0
CNN-LSTM,input_pgd,Mirai,0.0
CNN-LSTM,input_pgd,Recon,0.0
CNN-LSTM,input_pgd,Spoofing,0.0
CNN-LSTM,input_pgd,Web,0.0
CNN-LSTM,input_cw,Benign,44.5
CNN-LSTM,input_cw,BruteForce,100.0
CNN-LSTM,input_cw,DDoS,13.5
CNN-LSTM,input_cw,DoS,37.0
CNN-LSTM,input_cw,Mirai,0.5
CNN-LSTM,input_cw,Recon,6.0
CNN-LSTM,input_cw,Spoofing,18.5
CNN-LSTM,input_cw,Web,96.5
DualPath,latent_pgd,Benign,71.0
DualPath,latent_pgd,BruteForce,89.0
DualPath,latent_pgd,DDoS,27.500000000000004
DualPath,latent_pgd,DoS,53.0
DualPath,latent_pgd,Mirai,1.5
DualPath,latent_pgd,Recon,24.0
DualPath,latent_pgd,Spoofing,40.5
DualPath,latent_pgd,Web,97.5
DualPath,latent_cw,Benign,59.5
DualPath,latent_cw,BruteForce,89.5
DualPath,latent_cw,DDoS,33.5
DualPath,latent_cw,DoS,48.0
DualPath,latent_cw,Mirai,3.5000000000000004
DualPath,latent_cw,Recon,13.5
DualPath,latent_cw,Spoofing,53.0
DualPath,latent_cw,Web,97.5
DualPath,input_pgd,Benign,0.0
DualPath,input_pgd,BruteForce,0.0
DualPath,input_pgd,DDoS,0.0
DualPath,input_pgd,DoS,0.0
DualPath,input_pgd,Mirai,0.0
DualPath,input_pgd,Recon,0.0
DualPath,input_pgd,Spoofing,0.0
DualPath,input_pgd,Web,0.0
DualPath,input_cw,Benign,41.0
DualPath,input_cw,BruteForce,85.0
DualPath,input_cw,DDoS,9.5
DualPath,input_cw,DoS,43.0
DualPath,input_cw,Mirai,0.0
DualPath,input_cw,Recon,7.5
DualPath,input_cw,Spoofing,15.0
DualPath,input_cw,Web,97.5
