model,attack_type,ASR,ASR_Valid,Protocol_Valid,Mask_Valid,IDSR,L2_mean
MLP,latent_pgd,0.5325,0.5325,1.0,,0.4675,10.28793716430664
MLP,latent_cw,0.516875,0.516875,1.0,,0.483125,6.432767391204834
MLP,input_pgd,0.893125,0.029375,0.031875,,0.106875,1.7206515073776245
MLP,input_cw,0.561875,0.445,0.779375,,0.438125,0.384872168302536
CNN,latent_pgd,0.586875,0.586875,1.0,,0.413125,9.955979347229004
CNN,latent_cw,0.56375,0.56375,1.0,,0.43625,7.242823600769043
CNN,input_pgd,0.901875,0.06,0.06375,,0.098125,1.4203057289123535
CNN,input_cw,0.63875,0.48,0.725,,0.36125,0.2845950424671173
LSTM,latent_pgd,0.55875,0.55875,1.0,,0.44125,10.452552795410156
LSTM,latent_cw,0.55125,0.55125,1.0,,0.44875,6.2310028076171875
LSTM,input_pgd,0.888125,0.010625,0.01125,,0.111875,1.8036571741104126
LSTM,input_cw,0.5325,0.435,0.799375,,0.4675,0.38921570777893066
CNN-LSTM,latent_pgd,0.59125,0.59125,1.0,,0.40875,9.491761207580566
CNN-LSTM,latent_cw,0.553125,0.553125,1.0,,0.446875,6.304532527923584
CNN-LSTM,input_pgd,0.965625,0.115625,0.1175,,0.034375,1.2827386856079102
CNN-LSTM,input_cw,0.62625,0.6025,0.938125,,0.37375,0.24701045453548431
DualPath,latent_pgd,0.560625,0.560625,1.0,,0.439375,10.452707290649414
DualPath,latent_cw,0.558125,0.558125,1.0,,0.441875,7.83958625793457
DualPath,input_pgd,0.920625,0.00625,0.00625,,0.079375,1.79292631149292
DualPath,input_cw,0.571875,0.444375,0.7825,,0.428125,0.38759589195251465
