rule_name,total_violations,total_adv_samples,violation_rate
R_protocol_valid,1085750,1140000,0.9524122807017544
R_binary_ICMP,1077288,1140000,0.9449894736842105
R_binary_UDP,1076800,1140000,0.9445614035087719
R_binary_HTTPS,1075976,1140000,0.943838596491228
R_binary_IPv,1075906,1140000,0.9437771929824561
R_binary_ARP,1075346,1140000,0.9432859649122807
R_binary_HTTP,1075204,1140000,0.943161403508772
R_binary_DNS,1075046,1140000,0.9430228070175438
R_binary_SSH,1074761,1140000,0.9427728070175438
R_binary_LLC,1074555,1140000,0.9425921052631578
R_binary_TCP,1074459,1140000,0.9425078947368422
R_binary_IRC,1069088,1140000,0.9377964912280702
R_binary_Telnet,1068672,1140000,0.9374315789473684
R_binary_SMTP,1068354,1140000,0.9371526315789473
R_binary_IGMP,1067325,1140000,0.93625
R_binary_DHCP,1066705,1140000,0.9357061403508772
R_var_eq_std_sq,989774,1140000,0.8682228070175438
R_nonneg_rst_flag_number,702930,1140000,0.6166052631578948
R_nonneg_fin_flag_number,673940,1140000,0.5911754385964912
R_nonneg_psh_flag_number,671539,1140000,0.589069298245614
R_nonneg_syn_flag_number,600233,1140000,0.5265201754385965
R_nonneg_rst_count,572437,1140000,0.5021377192982456
R_nonneg_ece_flag_number,570624,1140000,0.5005473684210526
R_proto_tcp,540516,1140000,0.47413684210526313
R_nonneg_fin_count,457951,1140000,0.40171140350877194
R_avg_in_range,448205,1140000,0.3931622807017544
R_nonneg_cwr_flag_number,435298,1140000,0.381840350877193
R_nonneg_syn_count,412666,1140000,0.36198771929824564
R_pkts_integer,368139,1140000,0.32292894736842104
R_nonneg_Std,322858,1140000,0.2832087719298246
R_nonneg_Variance,316241,1140000,0.2774043859649123
R_nonneg_ack_flag_number,305022,1140000,0.26756315789473684
R_nonneg_ack_count,296596,1140000,0.2601719298245614
R_nonneg_Tot sum,265794,1140000,0.23315263157894736
R_nonneg_Rate,254119,1140000,0.22291140350877192
R_min_leq_max,201019,1140000,0.17633245614035087
R_proto_udp,199206,1140000,0.1747421052631579
R_nonneg_Tot size,132264,1140000,0.11602105263157894
R_nonneg_Max,128799,1140000,0.11298157894736842
R_nonneg_AVG,119053,1140000,0.10443245614035088
R_proto_icmp,99304,1140000,0.08710877192982457
R_pkts_positive,74205,1140000,0.0650921052631579
R_nonneg_Number,74055,1140000,0.06496052631578947
R_nonneg_Header_Length,56092,1140000,0.049203508771929826
R_ttl_range,116,1140000,0.00010175438596491228
R_nonneg_Time_To_Live,22,1140000,1.929824561403509e-05
R_nonneg_Min,0,1140000,0.0
R_nonneg_IAT,0,1140000,0.0
R_proto_igmp,0,1140000,0.0
