task,model,model_display,n_test,num_classes,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc,roc_auc_macro_ovr,roc_auc_weighted_ovr,roc_plot,runtime_sec
binary,mlp,MLP,885988,2,0.9672444773518377,0.8272608261332701,0.7567917599948604,0.7872539888575446,0.9642061636641981,0.9672444773518377,0.9652697199697862,0.9787495465566314,0.9787495465566314,0.9787495465566314,results\baseline_review\roc_curves\binary_mlp_roc_auc.png,0.90769362449646
binary,cnn,CNN,885988,2,0.9659408479573087,0.8301570664510067,0.7217261082914901,0.7640477489311794,0.9615207265877317,0.9659408479573087,0.9626004004655152,0.9753791023810461,0.9753791023810461,0.9753791023810461,results\baseline_review\roc_curves\binary_cnn_roc_auc.png,1.1077828407287598
binary,lstm,LSTM,885988,2,0.9674182946044416,0.8326567944694092,0.7489033446163968,0.7840276081522322,0.9640169138325376,0.9674182946044416,0.9650743228676802,0.9789511476277133,0.9789511476277133,0.9789511476277133,results\baseline_review\roc_curves\binary_lstm_roc_auc.png,0.9430117607116699
binary,serial,CNN-LSTM,885988,2,0.9658245935610866,0.8430955402736802,0.6990131708207179,0.7498179403368168,0.9607838061648173,0.9658245935610866,0.9612956202791135,0.976182774448596,0.976182774448596,0.976182774448596,results\baseline_review\roc_curves\binary_serial_roc_auc.png,1.553283452987671
binary,dualpath,DualPath,885988,2,0.9677715725269417,0.8373049310154526,0.7472423467507257,0.7845176135198921,0.9642872441015816,0.9677715725269417,0.9652914032855244,0.9793167715307243,0.9793167715307243,0.9793167715307243,results\baseline_review\roc_curves\binary_dualpath_roc_auc.png,1.1489834785461426
8class,mlp,MLP,885988,8,0.8448974478209638,0.8234412474734955,0.6274032564091898,0.6468898990592755,0.8419216272296756,0.8448974478209638,0.8396747047397414,0.9748281484535624,0.9748281484535624,0.9769681129492691,results\baseline_review\roc_curves\8class_mlp_roc_auc.png,3.5597920417785645
8class,cnn,CNN,885988,8,0.834941331033829,0.5945064935112501,0.5893195174196919,0.590679333861831,0.8246442323307418,0.834941331033829,0.8287802657551097,0.9696879360238029,0.9696879360238029,0.9752123836748877,results\baseline_review\roc_curves\8class_cnn_roc_auc.png,3.9807286262512207
8class,lstm,LSTM,885988,8,0.8456830115080566,0.812307606482598,0.6276994856421425,0.6469770238706491,0.8435632670684198,0.8456830115080566,0.8413494577785293,0.9759271304231287,0.9759271304231287,0.9775343131239278,results\baseline_review\roc_curves\8class_lstm_roc_auc.png,4.013486385345459
8class,serial,CNN-LSTM,885988,8,0.8393499686225998,0.7103902959531605,0.6040658820840443,0.606937609367177,0.8385628219483771,0.8393499686225998,0.8358399778351844,0.9731843814226435,0.9731843814226435,0.9764938387704453,results\baseline_review\roc_curves\8class_serial_roc_auc.png,4.598363399505615
8class,dualpath,DualPath,885988,8,0.8458557000772019,0.8264832401025928,0.6203221819651377,0.6398572561218749,0.8411364407319414,0.8458557000772019,0.8391259476571663,0.9752406709026712,0.9752406709026712,0.9776492802430478,results\baseline_review\roc_curves\8class_dualpath_roc_auc.png,4.178757190704346
34class,mlp,MLP,885988,34,0.7495022505948162,0.6278501261925034,0.5719530324886946,0.5678795035777818,0.7643222635318646,0.7495022505948162,0.7322681100875664,0.9810715574575243,0.9810715574575243,0.9870896082360053,results\baseline_review\roc_curves\34class_mlp_roc_auc.png,13.744478225708008
34class,cnn,CNN,885988,34,0.7023898743549574,0.5547110422275708,0.528513343553719,0.5239152400528665,0.7029207057535871,0.7023898743549574,0.6887819750348068,0.9763865219151278,0.9763865219151278,0.9842541711911513,results\baseline_review\roc_curves\34class_cnn_roc_auc.png,14.273963689804077
34class,lstm,LSTM,885988,34,0.7557574143216387,0.6540373628150755,0.5763370827946508,0.5747338503771221,0.7641533383591578,0.7557574143216387,0.7416483955305802,0.981979051303811,0.981979051303811,0.9877933499093761,results\baseline_review\roc_curves\34class_lstm_roc_auc.png,14.201349973678589
34class,serial,CNN-LSTM,885988,34,0.744403987412922,0.6361059793008663,0.5672388985452363,0.5628458710079544,0.7495021599774055,0.744403987412922,0.729295828317415,0.9807855053688002,0.9807855053688002,0.9871094998771516,results\baseline_review\roc_curves\34class_serial_roc_auc.png,14.803050994873047
34class,dualpath,DualPath,885988,34,0.7535011760881637,0.66181266350056,0.5750585512675683,0.5711541011470055,0.7692444705186643,0.7535011760881637,0.7381248983710399,0.9811208674297499,0.9811208674297499,0.987572061801202,results\baseline_review\roc_curves\34class_dualpath_roc_auc.png,14.27109432220459
