task,model,class_index,class_name,support,precision,recall,f1,roc_auc_ovr
binary,mlp,0,Benign,39998,0.6767234439900828,0.5254512725636282,0.5915699106326086,
binary,mlp,1,Attack,845990,0.9777982082764574,0.9881322474260925,0.9829380670824807,0.9787495465566314
binary,cnn,0,Benign,39998,0.6857553521446403,0.45327266363318164,0.5457884279607442,
binary,cnn,1,Attack,845990,0.974558780757373,0.9901795529497984,0.9823070699016148,0.9753791023810461
binary,lstm,0,Benign,39998,0.6882589723641038,0.5087004350217511,0.5850117163353028,
binary,lstm,1,Attack,845990,0.9770546165747147,0.9891062542110427,0.9830434999691614,0.9789511476277133
binary,serial,0,Benign,39998,0.7137265250472797,0.4057202860143007,0.5173507611381206,
binary,serial,1,Attack,845990,0.9724645555000805,0.992306055627135,0.9822851195355131,0.976182774448596
binary,dualpath,0,Benign,39998,0.6977194194885971,0.5048252412620631,0.585801734892222,
binary,dualpath,1,Attack,845990,0.9768904425423081,0.9896594522393882,0.9832334921475622,0.9793167715307243
binary,rf,0,Benign,39998,0.7507604880494735,0.5615030751537576,0.6424842304006408,
binary,rf,1,Attack,845990,0.9795122612207137,0.9911866570526838,0.9853148796489907,0.9836586444506802
binary,xgb,0,Benign,39998,0.7353863865304361,0.6388069403470173,0.6837028216689188,
binary,xgb,1,Attack,845990,0.9830283479570463,0.9891322592465632,0.9860708576842425,0.9855254672301104
8class,mlp,0,Benign,39998,0.6190981432360743,0.6127056352817641,0.6158853021373911,0.9783622353347836
8class,mlp,1,BruteForce,2504,0.9974093264248705,0.15375399361022365,0.2664359861591695,0.9593944128230171
8class,mlp,2,DDoS,409984,0.8722370460133064,0.9129380658757414,0.8921235754064777,0.9737853883572613
8class,mlp,3,DoS,133755,0.690462294310827,0.5925984075361669,0.6377981267501368,0.9497158014899463
8class,mlp,4,Mirai,119992,0.9986973404033235,0.9967247816521101,0.9977100860490433,0.9999879843897
8class,mlp,5,Recon,100705,0.7812687966599441,0.8770567499131126,0.8263963285412875,0.9878275713647129
8class,mlp,6,Spoofing,74291,0.8981983025808881,0.8347848326176791,0.8653313519886701,0.9928356970074379
8class,mlp,7,Web,4759,0.7301587301587301,0.0386635847867199,0.07343843544202754,0.9567160968616398
8class,cnn,0,Benign,39998,0.6237130225795923,0.5255512775638782,0.5704400211666056,0.9744064948847273
8class,cnn,1,BruteForce,2504,0.0,0.0,0.0,0.9429183739889343
8class,cnn,2,DDoS,409984,0.8730670118256163,0.9048840930377771,0.8886908633156427,0.9726379188996319
8class,cnn,3,DoS,133755,0.6732850168604358,0.6000897162722889,0.6345836841668346,0.9475159193880914
8class,cnn,4,Mirai,119992,0.9983674904560981,0.993841256083739,0.9960992315402606,0.9999676572267189
8class,cnn,5,Recon,100705,0.7547865600559269,0.8576932624993794,0.8029562145579623,0.9848413592378796
8class,cnn,6,Spoofing,74291,0.8328328463123308,0.8324965339004725,0.8326646561473423,0.9896717256085933
8class,cnn,7,Web,4759,0.0,0.0,0.0,0.945544038955847
8class,lstm,0,Benign,39998,0.6434117033826232,0.5863543177158858,0.6135593663749689,0.9791879482300218
8class,lstm,1,BruteForce,2504,0.9973118279569892,0.1481629392971246,0.2579972183588317,0.962513568169184
8class,lstm,2,DDoS,409984,0.8799488658774777,0.9032791523571652,0.8914613919921814,0.9743988038948227
8class,lstm,3,DoS,133755,0.6789489089076067,0.6243355388583605,0.6504979532698997,0.9508468353062131
8class,lstm,4,Mirai,119992,0.9982563281106606,0.9971748116541103,0.9977152767933827,0.9999899618490885
8class,lstm,5,Recon,100705,0.7688467086003977,0.8945434685467455,0.8269458494359125,0.9881580840218125
8class,lstm,6,Spoofing,74291,0.9071751055162576,0.8303428409901603,0.8670602291095649,0.9929986886090493
8class,lstm,7,Web,4759,0.624561403508772,0.03740281571758773,0.07057890563045202,0.9593231533048376
8class,serial,0,Benign,39998,0.6445513606276048,0.5258512925646283,0.579182156133829,0.9767620654020561
8class,serial,1,BruteForce,2504,0.0,0.0,0.0,0.9536095543850549
8class,serial,2,DDoS,409984,0.88974108884554,0.8811124336559476,0.8854057392719537,0.9734709762930748
8class,serial,3,DoS,133755,0.6482750618250912,0.6683114649919629,0.6581408019319404,0.9492598155610321
8class,serial,4,Mirai,119992,0.9978698343482946,0.9955163677578506,0.9966917117575647,0.9999658386016381
8class,serial,5,Recon,100705,0.7569535312866968,0.8961223375204806,0.8206797771967717,0.9869857108332666
8class,serial,6,Spoofing,74291,0.8832314906920563,0.8366154715914444,0.8592917234085206,0.9921924948196273
8class,serial,7,Web,4759,0.8625,0.028997688590039924,0.056108965236836755,0.9532285954853985
8class,dualpath,0,Benign,39998,0.6635912426539996,0.5448522426121306,0.5983882260876728,0.9784662684209282
8class,dualpath,1,BruteForce,2504,0.9973118279569892,0.1481629392971246,0.2579972183588317,0.9600827110143789
8class,dualpath,2,DDoS,409984,0.8711884434044229,0.9171528645020294,0.8935799591016624,0.9747016951896462
8class,dualpath,3,DoS,133755,0.6984412416654056,0.5865799409367874,0.6376418191866324,0.9513786943921809
8class,dualpath,4,Mirai,119992,0.9988977127539644,0.9968914594306287,0.997893577706127,0.9999811075680964
8class,dualpath,5,Recon,100705,0.7779825327510917,0.8845538950399682,0.8278525127204294,0.9879097020670173
8class,dualpath,6,Spoofing,74291,0.8594864766818493,0.8610598861234874,0.8602724619750131,0.9927318878195444
8class,dualpath,7,Web,4759,0.7449664429530202,0.023324227778945158,0.04523227383863081,0.9566733007495772
8class,rf,0,Benign,39998,0.7007323385276141,0.6363318165908295,0.6669811320754717,0.9834622059180124
8class,rf,1,BruteForce,2504,1.0,0.11701277955271565,0.20951018948873792,0.9728749433896065
8class,rf,2,DDoS,409984,0.8765512721539506,0.91669674914143,0.8961746418756594,0.9758754802204643
8class,rf,3,DoS,133755,0.7044534412955465,0.6075137378041943,0.6524022095189158,0.9537149291078413
8class,rf,4,Mirai,119992,0.9994062452959575,0.9959580638709248,0.99767917518888,0.9999924707217882
8class,rf,5,Recon,100705,0.7822564625204046,0.899379375403406,0.8367392188019659,0.9897212740460581
8class,rf,6,Spoofing,74291,0.9304051430297278,0.8707918859619604,0.899612020414123,0.9951141402530151
8class,rf,7,Web,4759,0.9757412398921833,0.07606640050430763,0.14113060428849902,0.9702156865031824
8class,xgb,0,Benign,39998,0.6988857868658669,0.6947097354867744,0.6967915041939893,0.9856200366845255
8class,xgb,1,BruteForce,2504,0.8266666666666667,0.22284345047923323,0.3510537905001573,0.9758027055114052
8class,xgb,2,DDoS,409984,0.8801868857289175,0.918094364658133,0.8987410834203851,0.9770783594041239
8class,xgb,3,DoS,133755,0.7119104757481142,0.6187880826884976,0.6620909229083172,0.955930929807423
8class,xgb,4,Mirai,119992,0.9991487515022033,0.9977498499899994,0.9984488107549121,0.9999952468406361
8class,xgb,5,Recon,100705,0.8100424622683362,0.8884365225162604,0.8474303358654265,0.9908940316144758
8class,xgb,6,Spoofing,74291,0.9352086959002596,0.8824756700004038,0.9080772613630854,0.9962348668874932
8class,xgb,7,Web,4759,0.7384494909945184,0.19815087203193948,0.31245858184227965,0.9745163715940469
