attack_family,attack_method,attack_goal,classifier,classifier_tag,attack_class,N,ASR_raw,ASR_valid,mahalanobis_id_rate,he_idsr,evasion_match_rate,validity_match_rate
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,100,0.16,0.04,0.93,0.16,1.0,1.0
latent,latent-pgd,untargeted,MLP,mlp,DDoS,100,0.23,0.17,0.77,0.09,1.0,1.0
latent,latent-pgd,untargeted,MLP,mlp,DoS,100,0.79,0.75,0.9,0.71,1.0,1.0
latent,latent-pgd,untargeted,MLP,mlp,Mirai,100,0.01,0.01,0.92,0.0,1.0,1.0
latent,latent-pgd,untargeted,MLP,mlp,Recon,100,0.13,0.12,0.98,0.12,1.0,1.0
latent,latent-pgd,untargeted,MLP,mlp,Spoofing,100,0.37,0.3,0.88,0.36,1.0,1.0
latent,latent-pgd,untargeted,MLP,mlp,Web,100,0.99,0.96,0.93,0.93,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,BruteForce,100,0.36,0.2,0.9,0.36,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,DDoS,100,0.22,0.2,0.79,0.09,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,DoS,100,0.78,0.76,0.89,0.7,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,Mirai,100,0.01,0.01,0.92,0.0,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,Recon,100,0.09,0.09,0.97,0.09,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,Spoofing,100,0.61,0.56,0.96,0.6,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,Web,100,0.52,0.51,0.93,0.48,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,BruteForce,100,1.0,0.0,0.76,0.76,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,DDoS,100,0.81,0.0,0.03,0.02,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,DoS,100,1.0,0.0,0.07,0.07,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,Mirai,100,0.89,0.0,0.0,0.0,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,Recon,100,1.0,0.0,0.01,0.01,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,Spoofing,100,0.98,0.0,0.03,0.03,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,Web,100,1.0,0.0,0.76,0.76,1.0,1.0
unconstrained-input,input-cw,untargeted,MLP,mlp,BruteForce,100,1.0,0.0,0.95,0.95,1.0,1.0
