attack_family,attack_method,attack_goal,classifier,classifier_tag,N,ASR_raw,ASR_valid,mahalanobis_id_rate,he_idsr,evasion_match_rate,validity_match_rate
latent,latent-pgd,untargeted,MLP,mlp,700,0.38285714285714284,0.3357142857142857,0.9014285714285715,0.3385714285714286,1.0,1.0
latent,latent-cw,untargeted,MLP,mlp,700,0.37,0.33285714285714285,0.9085714285714286,0.3314285714285714,1.0,1.0
unconstrained-input,input-pgd,untargeted,MLP,mlp,700,0.9542857142857143,0.0,0.23714285714285716,0.2357142857142857,1.0,1.0
unconstrained-input,input-cw,untargeted,MLP,mlp,700,0.8985714285714286,0.0,0.72,0.6585714285714286,1.0,1.0
latent,latent-pgd,untargeted,CNN,cnn,500,0.32,0.292,0.888,0.27,1.0,1.0
latent,latent-cw,untargeted,CNN,cnn,500,0.332,0.314,0.912,0.288,1.0,1.0
unconstrained-input,input-pgd,untargeted,CNN,cnn,500,0.912,0.0,0.088,0.084,1.0,1.0
unconstrained-input,input-cw,untargeted,CNN,cnn,500,0.884,0.0,0.706,0.63,1.0,1.0
latent,latent-pgd,untargeted,LSTM,lstm,700,0.37285714285714283,0.3442857142857143,0.9085714285714286,0.33,1.0,1.0
latent,latent-cw,untargeted,LSTM,lstm,700,0.39714285714285713,0.36,0.9071428571428571,0.35,1.0,1.0
unconstrained-input,input-pgd,untargeted,LSTM,lstm,700,0.9714285714285714,0.0,0.3142857142857143,0.3142857142857143,1.0,1.0
unconstrained-input,input-cw,untargeted,LSTM,lstm,700,0.9571428571428572,0.0,0.7342857142857143,0.71,1.0,1.0
latent,latent-pgd,untargeted,CNN-LSTM,serial,600,0.405,0.36333333333333334,0.8916666666666667,0.3416666666666667,1.0,1.0
latent,latent-cw,untargeted,CNN-LSTM,serial,600,0.4116666666666667,0.3883333333333333,0.9083333333333333,0.3566666666666667,1.0,1.0
unconstrained-input,input-pgd,untargeted,CNN-LSTM,serial,600,0.95,0.0,0.285,0.285,1.0,1.0
unconstrained-input,input-cw,untargeted,CNN-LSTM,serial,600,0.9733333333333334,0.0,0.8466666666666667,0.825,1.0,1.0
latent,latent-pgd,untargeted,DualPath,dualpath,700,0.3657142857142857,0.31857142857142856,0.9128571428571428,0.32571428571428573,1.0,1.0
latent,latent-cw,untargeted,DualPath,dualpath,700,0.3171428571428571,0.26857142857142857,0.9185714285714286,0.2742857142857143,1.0,1.0
unconstrained-input,input-pgd,untargeted,DualPath,dualpath,700,0.9514285714285714,0.0,0.30142857142857143,0.30142857142857143,1.0,1.0
unconstrained-input,input-cw,untargeted,DualPath,dualpath,700,0.8057142857142857,0.0,0.7185714285714285,0.57,1.0,1.0
latent,targeted-benign-latent-pgd,target-benign,MLP,mlp,700,0.041428571428571426,0.03428571428571429,0.9242857142857143,0.04,1.0,1.0
latent,targeted-benign-latent-pgd,target-benign,CNN,cnn,500,0.05,0.05,0.916,0.048,1.0,1.0
latent,targeted-benign-latent-pgd,target-benign,LSTM,lstm,700,0.05285714285714286,0.04857142857142857,0.9342857142857143,0.045714285714285714,1.0,1.0
latent,targeted-benign-latent-pgd,target-benign,CNN-LSTM,serial,600,0.03833333333333333,0.03833333333333333,0.9383333333333334,0.03666666666666667,1.0,1.0
latent,targeted-benign-latent-pgd,target-benign,DualPath,dualpath,700,0.04428571428571428,0.041428571428571426,0.9142857142857143,0.03142857142857143,1.0,1.0
constrained-input,cinput-pgd,untargeted,MLP,mlp,700,0.4157142857142857,0.4157142857142857,0.3757142857142857,0.12571428571428572,1.0,1.0
constrained-input,cinput-cw,untargeted,MLP,mlp,700,0.71,0.71,0.6171428571428571,0.39571428571428574,1.0,1.0
constrained-input,cinput-pgd-target-benign,target-benign,MLP,mlp,700,0.014285714285714285,0.014285714285714285,0.4042857142857143,0.012857142857142857,1.0,1.0
constrained-input,cinput-cw-target-benign,target-benign,MLP,mlp,700,0.05285714285714286,0.05285714285714286,0.4685714285714286,0.05142857142857143,1.0,1.0
constrained-input,cinput-pgd,untargeted,CNN,cnn,500,0.54,0.54,0.242,0.13,1.0,1.0
constrained-input,cinput-cw,untargeted,CNN,cnn,500,0.69,0.69,0.57,0.388,1.0,1.0
constrained-input,cinput-pgd-target-benign,target-benign,CNN,cnn,500,0.036,0.036,0.216,0.024,1.0,1.0
constrained-input,cinput-cw-target-benign,target-benign,CNN,cnn,500,0.128,0.128,0.266,0.062,1.0,1.0
constrained-input,cinput-pgd,untargeted,LSTM,lstm,700,0.56,0.56,0.35285714285714287,0.21428571428571427,1.0,1.0
