attack_family,attack_method,attack_goal,N,ASR_raw,ASR_valid,mahalanobis_id_rate,he_idsr,evasion_match_rate,validity_match_rate
latent,latent-pgd,untargeted,3200,0.37125,0.3321875,0.9015625,0.32375,1.0,1.0
latent,latent-cw,untargeted,3200,0.36625,0.3321875,0.9109375,0.3209375,1.0,1.0
unconstrained-input,input-pgd,untargeted,3200,0.95,0.0,0.25375,0.2528125,1.0,1.0
unconstrained-input,input-cw,untargeted,3200,0.9028125,0.0,0.744375,0.6771875,1.0,1.0
latent,targeted-benign-latent-pgd,target-benign,3200,0.0453125,0.0421875,0.925625,0.04,1.0,1.0
constrained-input,cinput-pgd,untargeted,3200,0.5259375,0.5259375,0.34875,0.179375,1.0,1.0
constrained-input,cinput-cw,untargeted,3200,0.7621875,0.7621875,0.6059375,0.45375,1.0,1.0
constrained-input,cinput-pgd-target-benign,target-benign,3200,0.0415625,0.0415625,0.3321875,0.0190625,1.0,1.0
constrained-input,cinput-cw-target-benign,target-benign,3200,0.1078125,0.1078125,0.3790625,0.056875,1.0,1.0
latent,targeted-benign-latent-cw,target-benign,3200,0.059375,0.0521875,0.906875,0.050625,1.0,1.0
