attack_family,attack_method,attack_goal,classifier,classifier_tag,attack_class,sample_id,evasion,joint_valid,mahalanobis_outlier,saved_evasion,saved_joint_valid,evasion_match,validity_match,source_run
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,1798,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,2195,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,3048,False,False,True,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,3528,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,5778,True,False,False,True,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,10850,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,11336,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,11915,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,12964,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,17605,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,20502,True,False,False,True,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,22660,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,24321,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,24673,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,25476,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,28989,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,34409,True,False,False,True,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,34513,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,37323,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,46206,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,49109,True,False,False,True,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,50041,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,50167,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,52327,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,52729,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,58325,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,59126,True,False,False,True,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,60344,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,62901,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,66239,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,67148,False,False,False,False,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,68442,False,True,False,False,True,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
latent,latent-pgd,untargeted,MLP,mlp,BruteForce,72960,True,False,False,True,False,True,True,D:\thesis_final\outputs\latent_attacks\all_models_rerun_20260602_015314_seed42
