,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
Header_Length,1.0,0.37395208086775944,0.24937885158085052,0.09312403129101503,0.21147743380233772,0.3091466319220832,0.23151188630276218,0.4223101686102102,0.5643078601585035,0.0074948705554211395,0.015700070402657564,0.49732393124748053,0.29663702305032863,0.20824376823528376,0.2310800327050614,0.2703654094710386,0.4503525024417319,0.03512476670975949,0.016073995460248087,0.015285543186720017,0.05484076701145242,0.016482489765604215,0.8235177876431665,0.26365458788839363,0.015829652335126256,0.1760288832740639,0.44439636720644843,0.0009806439867474344,0.1760288832740639,0.1760288832740639,0.48915290669582373,0.1007758205940663,0.10902146160522865,0.18637196067998582,0.058335819100200074,0.18637196067998582,0.10167441958479759,0.497778681168001,0.05833556338125783
Protocol Type,0.37395208086775944,1.0,0.028333894912907765,0.10720394032279898,0.1381777514240569,0.2053553292378263,0.1498916418535862,0.1559659393253088,0.22920162267857436,0.0031012206510674925,0.003678807249774091,0.2319188207516531,0.20387523662449883,0.13850716469696062,0.14981584750802324,0.14224220661978246,0.14054135578450402,0.011168307941217911,0.011780382093846024,0.0114339646217159,0.03842316338365988,0.008075191785513518,0.4750588318308124,0.4865325753436699,0.004295239299352007,0.014992713438463198,0.3391975072923016,0.00033542835576638,0.014992713438463198,0.014992713438463198,0.2328442037944486,0.24164277343873605,0.1708720480761064,0.23219221247701488,0.01620413355132874,0.23219221247701488,0.10532967204092997,0.08625978645703902,0.016204107857609253
Time_To_Live,0.24937885158085052,0.028333894912907765,1.0,0.365142031846298,0.05779497112182009,0.02672246727165506,0.039542348709944136,0.3372084665249009,0.3769654376773005,0.016256095617081412,0.01722940030607162,0.32777890366355,0.0239154250652855,0.055792101923518085,0.036216651887524626,0.12770177952867212,0.39720713785123607,0.22826795574599626,0.003729668235378832,0.005514625638097804,0.03056831620783326,0.00681813801396251,0.07056494711417034,0.1640342231550336,0.07042182257532309,0.09011166442970381,0.053502673220231604,0.020192015891100645,0.09011166442970381,0.09011166442970381,0.16334329637948208,0.0892688843209124,0.20455682460520125,0.16727477790677847,0.27987732711947494,0.16727477790677847,0.3668790653447817,0.38550110924781605,0.27987700935217485
Rate,0.09312403129101503,0.10720394032279898,0.365142031846298,1.0,0.08778532496365486,0.002553133293749655,0.042498102136894415,0.4229309320677678,0.49424141992466686,0.041677986703276465,0.03482753475674837,0.457002414241356,0.010302981500216954,0.08443572341296472,0.0455646678159184,0.2082888327942553,0.5198574781746698,0.3434959642802037,0.008692290902133349,0.010605601275516477,0.0862058808642171,0.009038275013665846,0.2039004740000207,0.329385236590326,0.10462655154493566,0.3784611051761603,0.06649944206214302,0.048507668237483474,0.3784611051761603,0.3784611051761603,0.051585439141140714,0.14848869160793537,0.6675284215679532,0.6394797713672061,0.7028773747838521,0.6394797713672061,0.9961652236426735,0.5800365323898552,0.7028774634883176
fin_flag_number,0.21147743380233772,0.1381777514240569,0.05779497112182009,0.08778532496365486,1.0,0.012778612871846019,0.46728703831233176,0.16391230295434484,0.10259332711552518,0.019299073331498495,0.022645889226247242,0.11391225005519084,0.015279418458678891,0.9991808068070417,0.471713556198908,0.2557454293054678,0.1568682739196262,0.15405709739675932,0.00016544229537449916,0.0004354302532966274,0.032866827391022445,0.0023468066566744326,0.17273195197707314,0.024207119411927054,0.033944354106786236,0.053332995827063905,0.02103030282782434,0.018485014401410378,0.053332995827063905,0.053332995827063905,0.0789568905692422,0.09430318060338717,0.017063264902305995,0.0372456013264716,0.08069190892491905,0.0372456013264716,0.08589192565991677,0.034113100317266346,0.08069191430128858
syn_flag_number,0.3091466319220832,0.2053553292378263,0.02672246727165506,0.002553133293749655,0.012778612871846019,1.0,0.08811503634658568,0.03984688809471294,0.01838731084217968,0.053458904139592124,0.034579587471248834,0.008395607224041705,0.9974690854860633,0.015332820546033236,0.08734310156876503,0.20953180645000907,0.03778487958500044,0.09909068008452201,0.01820215508856859,0.016665120070988367,0.018535723934149057,0.02953198402648016,0.3789061704546038,0.1791972028736704,0.016033740341781164,0.014099906909601412,0.10255969686722127,0.008714683851721406,0.014099906909601412,0.014099906909601412,0.1604213409471488,0.2375133884630839,0.1639330984065218,0.21489504677628052,0.0657170319735391,0.21489504677628052,0.0043017183344081075,0.02737111861590696,0.0657162143061146
rst_flag_number,0.23151188630276218,0.1498916418535862,0.039542348709944136,0.042498102136894415,0.46728703831233176,0.08811503634658568,1.0,0.0012997050906593105,0.08180233149940516,0.006351977159091232,0.01014184669810493,0.12445194865547239,0.09242470396418753,0.4727418121690341,0.9993603734016318,0.09525791347696053,0.035593293032543674,0.020282994217699826,0.01971329435989795,0.018053413841891172,0.0008007635761705568,0.014737674786965428,0.2873833545096232,0.1773303882141884,0.001745827935643202,0.02887710729379321,0.10568648513463152,0.004497332253834228,0.02887710729379321,0.02887710729379321,0.10444931893313632,0.1993137982207292,0.12359969804063797,0.16905853729682763,0.07255067047030352,0.16905853729682763,0.04305021755259013,0.02940391556798777,0.07254946653470892
psh_flag_number,0.4223101686102102,0.1559659393253088,0.3372084665249009,0.4229309320677678,0.16391230295434484,0.03984688809471294,0.0012997050906593105,1.0,0.7403815734378721,0.025988447777752773,0.0313905208799627,0.7100129772797402,0.046089480804917995,0.1626614412226316,0.0018513703793363492,0.2797800342013142,0.5050973602100202,0.1731615678464497,0.005359864656797477,0.00566382067017927,0.09714724516893607,0.005957666971549325,0.22247140637656337,0.05609834392019083,0.05593364717200777,0.1302495616760864,0.0580626634387977,0.033370758269155525,0.1302495616760864,0.1302495616760864,0.19931733331731447,0.025038111708522402,0.2655421666399769,0.18868239521706692,0.38236377093800933,0.18868239521706692,0.42430262120405626,0.4480953499664726,0.3823633074519201
ack_flag_number,0.5643078601585035,0.22920162267857436,0.3769654376773005,0.49424141992466686,0.10259332711552518,0.01838731084217968,0.08180233149940516,0.7403815734378721,1.0,0.03466076721898374,0.02726810912072776,0.9716370406550298,0.02209076176739608,0.10102169154420393,0.07991579162646863,0.2669527334862253,0.6256032410377442,0.14388982805421313,0.00012326355544015448,0.0006654788196269854,0.0739180272980704,0.007403381922409274,0.33788684878690695,0.05450230856432261,0.042143890008484584,0.11452073048426431,0.11605227921269724,0.026334215736839105,0.11452073048426431,0.11452073048426431,0.15876385623091185,0.055174674655138166,0.39494922475515654,0.33540392595579194,0.5076041370777052,0.33540392595579194,0.5015011824295966,0.5959981064767219,0.507603937103358
ece_flag_number,0.0074948705554211395,0.0031012206510674925,0.016256095617081412,0.041677986703276465,0.019299073331498495,0.053458904139592124,0.006351977159091232,0.025988447777752773,0.03466076721898374,1.0,0.5971008880625335,0.03941829917612849,0.054943073260688965,0.019834921988140904,0.006444450232628855,0.011909875818257042,0.04348202663714274,0.032551675605500166,0.0006840138389578685,0.0010200236994665484,0.0033437973723159527,0.00014916634837550664,0.0025379605785442474,0.016280230362485156,0.008914836538200998,0.02926352743721572,0.013872374470576841,0.005092890347637823,0.02926352743721572,0.02926352743721572,0.014774459137738014,0.005977011260733411,0.041988210064300154,0.03376598529133034,0.048692776877350304,0.03376598529133034,0.04148334722557119,0.01283069203818612,0.048692706592077487
