,PC1,PC2
Header_Length,0.05461140008303367,0.08183256156030223
Protocol Type,-0.029646736726482326,-0.07141235683553715
Time_To_Live,0.46557299446122113,0.1283284857876809
Rate,-0.05406913659239009,0.010956974500786814
fin_flag_number,-0.0027632944624507703,-0.0023418429509550654
syn_flag_number,-0.15721777325358846,0.6650625464775439
rst_flag_number,-0.0043810717307698486,0.0003423135857901568
psh_flag_number,0.462699791969976,0.13239898358271215
ack_flag_number,0.08556572756112155,0.014739123741835333
ece_flag_number,2.635843792832242e-05,2.8756355447733117e-05
cwr_flag_number,1.5421164437428802e-05,1.6008885398064842e-05
ack_count,0.10727072215745723,0.02102779158663925
syn_count,-0.21430861062095813,0.5863055434160708
fin_count,-0.021972322336139608,-0.004675260403893711
rst_count,-0.045090036985134585,0.04825621507112457
HTTP,0.0024522634346166128,0.006451179200290885
HTTPS,0.5078117290322323,0.14917774784431323
DNS,0.0023037934574087616,0.0010810848620044402
Telnet,-1.1663900200812107e-06,7.328268772690377e-06
SMTP,-1.690461562947312e-06,6.753497553429306e-06
SSH,0.00023152686848940568,9.197529035865844e-05
IRC,5.192257694418653e-06,1.2776380926925009e-05
TCP,0.009803901960775557,0.04874537866609123
UDP,-0.0017993033917594525,-0.062416336304444237
DHCP,0.00017377958837826234,5.8830475097805746e-05
ARP,0.0017962902086725843,0.0005899746915757506
ICMP,-0.003806256055420301,-0.010277336047156471
IGMP,2.1487261915168677e-05,7.57914788847487e-06
IPv,-0.0017962902086725843,-0.0005899746915757505
LLC,-0.0017962902086725843,-0.0005899746915757505
Tot sum,-0.012079768571256621,-0.056585691809450556
Min,-0.04663431502659883,-0.2807147029679469
Max,0.058783012773246206,-0.034660701633287834
AVG,0.028218795665586667,-0.061420985933892475
Std,0.10130017703567629,-0.05406644395745734
Tot size,0.028218795665586667,-0.061420985933892475
IAT,0.38866843837373843,0.13672632070707208
Number,-0.049898088822792515,-0.014003934966087452
Variance,0.20287421162770558,-0.1541757685326376
