model,run_label,vae_run_tag,sample_id,source_class,pred_before,pred_after,target_success,joint_valid,input_l2_scaled,latent_l2,top_feature_changes,sample_key
CNN,laplace,laplace_rerun_20260529,99,Recon,Recon,Benign,True,True,0.7172070407905229,1.5656137353258206,`Min` 3.4931; `IAT` 0.000335039; `Tot size` 64.3042; `AVG` 64.1677; `Header_Length` 0.923021,laplace|cnn|targeted_benign|1|99
CNN,laplace,laplace_rerun_20260529,821,Spoofing,Spoofing,Benign,True,True,1.1551258996515614,1.6501611128227904,`Min` 5.96418; `IAT` 0.000472626; `Header_Length` 2.68718; `ack_count` 1.31466; `Max` 28.466,laplace|cnn|targeted_benign|2|821
CNN-LSTM,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,389,Spoofing,Spoofing,Benign,True,True,0.8677820093190303,1.7603625937722789,`Min` 4.33166; `Header_Length` 4.86153; `Std` -36.842; `Variance` -6426.96; `ack_count` 0.620348,gaussian|serial|targeted_benign|1|389
CNN-LSTM,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,80,Spoofing,Spoofing,Benign,True,True,1.0813800169242256,1.9467921705522084,`Min` 4.89556; `Variance` 18754.2; `Header_Length` 4.28543; `IAT` -0.00023637; `ack_count` 1.40574,gaussian|serial|targeted_benign|2|80
DualPath,laplace,laplace_rerun_20260529,1485,Spoofing,Spoofing,Benign,True,True,0.9631259541801344,1.7589301302004026,`Min` -3.91738; `Header_Length` 6.81462; `ack_count` 2.1; `Std` -31.493; `Variance` -6271.85,laplace|dualpath|targeted_benign|1|1485
DualPath,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,1077,Spoofing,Spoofing,Benign,True,True,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,gaussian|dualpath|targeted_benign|1|1077
LSTM,laplace,laplace_rerun_20260529,86334,BruteForce,BruteForce,Benign,True,True,0.38300464773342885,1.6643317189287536,`Min` 1.9099; `Header_Length` 2.33374; `ack_count` 0.557618; `ack_flag_number` 0.0321867; `AVG` 9.37953,laplace|lstm|targeted_benign|1|86334
LSTM,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,940,Recon,Recon,Benign,True,True,1.340011790077795,1.905911890593752,`Rate` -18303.6; `IAT` 0.000671636; `Tot size` 334.728; `Variance` -22309.7; `Min` 1.22102,gaussian|lstm|targeted_benign|1|940
MLP,laplace,laplace_rerun_20260529,1485,Spoofing,Spoofing,Benign,True,True,0.9845845247883211,1.6874231291496629,`Min` -4.28387; `Header_Length` 6.31994; `ack_count` 2.1; `Std` -31.7984; `Variance` -6322.96,laplace|mlp|targeted_benign|1|1485
MLP,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,1077,Spoofing,Spoofing,Benign,True,True,1.5721963258203984,1.6248077342567389,`IAT` 0.0012027; `Min` -4.25676; `Header_Length` -3.75767; `Variance` -12290.1; `AVG` 102.217,gaussian|mlp|targeted_benign|1|1077
