Case,Example,Clean pred,Adv pred,Feature,Clean value,Adversarial value,Delta,Why impossible
34class + PGD eps=0.30,Ex3,21,13,Variance,224911.7031,211617.0938,-13294.6094,"Variance should match Std^2 (within tolerance); Std=537.4022, Variance=211617.0938"
34class + PGD eps=0.30,Ex1,8,10,Variance,0.0000,-13294.6006,-13294.6006,"Variance must be non-negative; got -13294.6006 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
34class + PGD eps=0.30,Ex5,22,23,Variance,0.0000,-13294.6006,-13294.6006,"Variance must be non-negative; got -13294.6006 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
34class + PGD eps=0.30,Ex2,22,23,Variance,2724.8401,-10569.7598,-13294.5999,"Variance must be non-negative; got -10569.7598 | Variance should match Std^2 (within tolerance); Std=-10.9536, Variance=-10569.7598"
34class + PGD eps=0.30,Ex4,19,12,Variance,0.0000,-9970.9512,-9970.9512,"Variance must be non-negative; got -9970.9512 | Variance should match Std^2 (within tolerance); Std=-47.3652, Variance=-9970.9512"
34class + PGD eps=0.30,Ex2,22,23,Max,592.0000,287.8000,-304.2000,"AVG must lie in [Min, Max]; got Min=68.2000, AVG=431.3800, Max=287.8000"
34class + PGD eps=0.30,Ex5,22,23,Max,592.0000,287.8000,-304.2000,"Min must be <= Max; got Min=590.2000, Max=287.8000 | AVG must lie in [Min, Max]; got Min=590.2000, AVG=436.6000, Max=287.8000"
34class + PGD eps=0.30,Ex2,22,23,AVG,586.7800,431.3800,-155.4000,"AVG must lie in [Min, Max]; got Min=68.2000, AVG=431.3800, Max=287.8000"
34class + PGD eps=0.30,Ex4,19,12,AVG,60.0000,215.4000,155.4000,"AVG must lie in [Min, Max]; got Min=61.8000, AVG=215.4000, Max=-92.1000"
34class + PGD eps=0.30,Ex5,22,23,AVG,592.0000,436.6000,-155.4000,"AVG must lie in [Min, Max]; got Min=590.2000, AVG=436.6000, Max=287.8000"
34class + PGD eps=0.30,Ex4,19,12,Max,60.0000,-92.1000,-152.1000,"Max must be non-negative; got -92.1000 | Min must be <= Max; got Min=61.8000, Max=-92.1000 | AVG must lie in [Min, Max]; got Min=61.8000, AVG=215.4000, Max=-92.1000"
34class + PGD eps=0.30,Ex1,8,10,Std,0.0000,-63.1536,-63.1536,"Std must be non-negative; got -63.1536 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
34class + PGD eps=0.30,Ex2,22,23,Std,52.2000,-10.9536,-63.1536,"Std must be non-negative; got -10.9536 | Variance should match Std^2 (within tolerance); Std=-10.9536, Variance=-10569.7598"
34class + PGD eps=0.30,Ex3,21,13,Std,474.2486,537.4022,63.1536,"Variance should match Std^2 (within tolerance); Std=537.4022, Variance=211617.0938"
34class + PGD eps=0.30,Ex5,22,23,Std,0.0000,-63.1536,-63.1536,"Std must be non-negative; got -63.1536 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-13294.6006"
