example_rank,sample_index,clean_prediction,adv_prediction,feature,clean_value,adv_value,delta,violates_rule,violated_rules,violation_description
1,5,1,0,AVG,60.0,-95.4,-155.4,True,R_nonneg_AVG; R_avg_in_range,"AVG must be non-negative; got -95.4000 | AVG must lie in [Min, Max]; got Min=60.0000, AVG=-95.4000, Max=364.2000"
1,5,1,0,Max,60.0,364.2,304.2,True,R_avg_in_range,"AVG must lie in [Min, Max]; got Min=60.0000, AVG=-95.4000, Max=364.2000"
1,5,1,0,Min,60.0,60.0,0.0,True,R_avg_in_range,"AVG must lie in [Min, Max]; got Min=60.0000, AVG=-95.4000, Max=364.2000"
1,5,1,0,Std,0.0,-63.1536,-63.1536,True,R_nonneg_Std; R_var_eq_std_sq,"Std must be non-negative; got -63.1536 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-0.0005"
1,5,1,0,Tot size,60.0,-95.4,-155.4,True,R_nonneg_Tot size,Tot size must be non-negative; got -95.4000
1,5,1,0,Tot sum,6000.0,-8681.7002,-14681.7002,True,R_nonneg_Tot sum,Tot sum must be non-negative; got -8681.7002
1,5,1,0,Variance,0.0,-0.0005,-0.0005,True,R_nonneg_Variance; R_var_eq_std_sq,"Variance must be non-negative; got -0.0005 | Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=-0.0005"
1,5,1,0,ack_count,1.0,-1.1,-2.1,True,R_nonneg_ack_count,ack_count must be non-negative; got -1.1000
1,5,1,0,cwr_flag_number,0.0,-0.0167,-0.0167,True,R_nonneg_cwr_flag_number,cwr_flag_number must be non-negative; got -0.0167
1,5,1,0,ece_flag_number,0.0,-0.225,-0.225,True,R_nonneg_ece_flag_number,ece_flag_number must be non-negative; got -0.2250
1,5,1,0,fin_count,0.0,-0.3,-0.3,True,R_nonneg_fin_count,fin_count must be non-negative; got -0.3000
1,5,1,0,fin_flag_number,0.0,-0.3,-0.3,True,R_nonneg_fin_flag_number,fin_flag_number must be non-negative; got -0.3000
1,5,1,0,psh_flag_number,0.0,-0.3,-0.3,True,R_nonneg_psh_flag_number,psh_flag_number must be non-negative; got -0.3000
1,5,1,0,rst_count,0.0,-0.3,-0.3,True,R_nonneg_rst_count,rst_count must be non-negative; got -0.3000
1,5,1,0,rst_flag_number,0.0,-0.3,-0.3,True,R_nonneg_rst_flag_number,rst_flag_number must be non-negative; got -0.3000
1,5,1,0,syn_flag_number,0.0,-0.3,-0.3,True,R_nonneg_syn_flag_number,syn_flag_number must be non-negative; got -0.3000
1,5,1,0,ARP,0.0,-0.15,-0.15,False,,
1,5,1,0,DHCP,0.0,-0.075,-0.075,False,,
1,5,1,0,DNS,0.0,-0.3,-0.3,False,,
1,5,1,0,HTTP,0.0,-0.15,-0.15,False,,
