Case,Example,Clean pred,Adv pred,Feature,Clean value,Adversarial value,Delta,Why impossible
binary + PGD eps=0.30,Ex1,1,0,Tot sum,6000.0000,-8681.7002,-14681.7002,Tot sum must be non-negative; got -8681.7002
binary + PGD eps=0.30,Ex3,1,0,Tot sum,6000.0000,-8681.7002,-14681.7002,Tot sum must be non-negative; got -8681.7002
binary + PGD eps=0.30,Ex4,1,0,Tot sum,6000.0000,-8681.7002,-14681.7002,Tot sum must be non-negative; got -8681.7002
binary + PGD eps=0.30,Ex2,0,1,Variance,0.0000,-13294.6006,-13294.6006,"Variance must be non-negative; got -13294.6006 | Variance should match Std^2 (within tolerance); Std=63.1536, Variance=-13294.6006"
binary + PGD eps=0.30,Ex5,1,0,Variance,0.0000,13294.5996,13294.5996,"Variance should match Std^2 (within tolerance); Std=31.5768, Variance=13294.5996"
binary + PGD eps=0.30,Ex3,1,0,Variance,0.0000,9970.9492,9970.9492,"Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=9970.9492"
binary + PGD eps=0.30,Ex4,1,0,Variance,0.0000,1916.0114,1916.0114,"Variance should match Std^2 (within tolerance); Std=-63.1536, Variance=1916.0114"
binary + PGD eps=0.30,Ex1,1,0,Max,60.0000,364.2000,304.2000,"AVG must lie in [Min, Max]; got Min=60.0000, AVG=-95.4000, Max=364.2000"
binary + PGD eps=0.30,Ex2,0,1,Max,66.0000,-238.2000,-304.2000,"Max must be non-negative; got -238.2000 | Min must be <= Max; got Min=67.8000, Max=-238.2000 | AVG must lie in [Min, Max]; got Min=67.8000, AVG=221.4000, Max=-238.2000"
binary + PGD eps=0.30,Ex3,1,0,Max,60.0000,364.2000,304.2000,"AVG must lie in [Min, Max]; got Min=58.8673, AVG=-56.5500, Max=364.2000"
binary + PGD eps=0.30,Ex4,1,0,Max,60.0000,364.2000,304.2000,"AVG must lie in [Min, Max]; got Min=58.7866, AVG=-95.4000, Max=364.2000"
binary + PGD eps=0.30,Ex5,1,0,Max,162.0000,466.2000,304.2000,"AVG must lie in [Min, Max]; got Min=160.2000, AVG=6.6000, Max=466.2000"
binary + PGD eps=0.30,Ex1,1,0,AVG,60.0000,-95.4000,-155.4000,"AVG must be non-negative; got -95.4000 | AVG must lie in [Min, Max]; got Min=60.0000, AVG=-95.4000, Max=364.2000"
binary + PGD eps=0.30,Ex1,1,0,Tot size,60.0000,-95.4000,-155.4000,Tot size must be non-negative; got -95.4000
binary + PGD eps=0.30,Ex2,0,1,AVG,66.0000,221.4000,155.4000,"AVG must lie in [Min, Max]; got Min=67.8000, AVG=221.4000, Max=-238.2000"
