category,method,js_divergence,mmd_rbf,wasserstein_pca,corr_absdiff_mean,loglik_mean,loglik_p5,n_samples,vae_key
BruteForce,PGD,0.19455610350737948,0.0659940242767334,12.6260495080948,0.1426574585822979,-3.378664297991289,-3.4248824202243906,200,
BruteForce,C&W,0.19764409285825202,0.07724535465240479,9.92057672691345,0.10741560151786608,-3.3774695367187686,-3.411551247170222,200,
BruteForce,VAE,0.16793707561074067,0.053412675857543945,11.649345841169369,0.08977525499099424,-3.381771985879212,-3.4178960435836934,200,X_adv_latent_cw
DDoS,PGD,0.40386180858677945,0.08494234085083008,12.410789531469336,0.2500934530336295,-3.476192394747961,-3.2997152301852655,200,
DDoS,C&W,0.40636253457043414,0.08704376220703125,11.699877720117566,0.246904756822588,-3.476914274190825,-3.297303600179308,200,
DDoS,VAE,0.5198984431544781,0.12154614925384521,13.274607280254365,0.18872156276471064,-3.3810984185694655,-3.2935228845891267,200,X_adv_latent_cw
DoS,PGD,0.3980757028092895,0.1420971155166626,15.576635018587101,0.24340454958799282,-3.3322605015884244,-3.29754339618093,200,
DoS,C&W,0.6424745772744105,0.13324463367462158,15.086786829233155,0.22328968490680226,-3.329891226453161,-3.2936113554466706,200,
DoS,VAE,0.6332031975405147,0.13705968856811523,15.199455669879914,0.18958980841442405,-3.2949957409924626,-3.2936183582293466,200,X_adv_latent_cw
Mirai,PGD,0.4918880562257129,0.18714118003845215,38.18787905406951,0.3136016946325768,-5.667849378609942,-8.544814053593123,200,
Mirai,C&W,0.56796891636547,0.18642449378967285,38.41655452537535,0.36669175410085997,-5.672959481031016,-8.561698691655016,200,
Mirai,VAE,0.5386144295104174,0.18158507347106934,36.470595124959935,0.27398822207574897,-5.647903918486478,-8.401598519294302,200,X_adv_latent_cw
Recon,PGD,0.2898218453646376,0.1154782772064209,14.124908392190937,0.16366200820218643,-3.339368463661517,-3.393919994556862,200,
Recon,C&W,0.2611058334595353,0.12149786949157715,12.42552372479439,0.16303913732171219,-3.339688783089077,-3.3932086088154567,200,
Recon,VAE,0.24509904771976704,0.13382482528686523,11.331357046365724,0.09919955671719245,-3.346928528480807,-3.4096544939221074,200,X_adv_latent_cw
Spoofing,PGD,0.21823561121565027,0.017764508724212646,2.4769888446331025,0.14599220334840823,-3.639917199494347,-6.41697784334555,200,
Spoofing,C&W,0.18881344539182382,0.007514595985412598,2.965784125566471,0.152799038695876,-3.6338720233752726,-6.408408763942051,200,
Spoofing,VAE,0.18026231857918337,0.0033309459686279297,6.601205928802488,0.07288029688820132,-3.825710313534027,-7.710206951149733,200,X_adv_latent_cw
Web,PGD,0.23539414213723078,0.08361124992370605,4.76626418256759,0.1628954814122762,-3.535788322366908,-6.391945568124696,200,
Web,C&W,0.20622222220891123,0.07832634449005127,4.756550943374633,0.1220983786351034,-3.533597435729673,-6.387536866802379,200,
Web,VAE,0.21719100578868814,0.08443033695220947,5.1829505479335785,0.054075253285694076,-3.545284372820224,-6.379937748931222,200,X_adv_latent_cw
