feature_name,mask_type,ks_stat_latent,p_value_latent,ks_stat_input,p_value_input,wasserstein_latent,wasserstein_input,significant_latent_005,significant_input_005
Header_Length,Full,0.085625,1.5916160388805096e-05,0.094375,1.2728712142507233e-06,0.0800321906059935,0.0703002623786597,True,True
Protocol Type,Frozen,0.0,1.0,0.1775,1.9895810200148205e-22,0.0,0.04865458811600092,False,True
Time_To_Live,Frozen,0.0,1.0,0.123125,5.539669933608644e-11,0.0,0.00798205347067778,False,True
Rate,Full,0.721875,0.0,0.083125,3.130355296430023e-05,0.11630665974560524,0.036162049608992684,True,True
fin_flag_number,Partial,0.011875,0.9998687359173352,0.31625,4.164671542702419e-71,0.003562500141561022,0.02475837963668682,False,True
syn_flag_number,Partial,0.083125,3.130355296430023e-05,0.306875,6.562656655312525e-67,0.02493750099092722,0.06549212665415431,True,True
rst_flag_number,Partial,0.024375,0.7289225542544548,0.316875,2.1623875973974593e-71,0.007312500290572654,0.08669857788617918,False,True
psh_flag_number,Partial,0.040625,0.14259616347687398,0.275,1.216851679342283e-53,0.010861793309450153,0.07983539963158448,False,True
ack_flag_number,Partial,0.23375,9.830730696039286e-39,0.186875,7.925393737527791e-25,0.015419989470392463,0.0505794572608204,True,True
ece_flag_number,Frozen,0.0,1.0,0.299375,1.1966990148151196e-63,0.0,0.005991537885720958,False,True
cwr_flag_number,Frozen,0.0,1.0,0.30875,9.736234489830277e-68,0.0,0.00658574105709249,False,True
ack_count,Partial,0.1175,4.87848665561801e-10,0.15625,1.8709215736915308e-17,0.04174417921341954,0.03318538373119281,True,True
syn_count,Partial,0.0825,3.6954398696956525e-05,0.253125,2.0201221353138407e-45,0.07156764568760991,0.03149665341167747,True,True
fin_count,Partial,0.056875,0.011292096010429775,0.28375,3.9475163670202387e-57,0.03932657422497868,0.037738504194865075,True,True
rst_count,Partial,0.02375,0.7577676401426795,0.26375,2.5234103799546594e-49,0.03337554983794688,0.04209882072228708,False,True
HTTP,Frozen,0.0,1.0,0.27,1.064636973705171e-51,0.0,0.06270588414327222,False,True
HTTPS,Frozen,0.0,1.0,0.27,1.064636973705171e-51,0.0,0.08360937068469866,False,True
DNS,Frozen,0.0,1.0,0.299375,1.1966990148151196e-63,0.0,0.04096085746573863,False,True
Telnet,Frozen,0.0,1.0,0.28625,3.786794170147635e-58,0.0,0.006320289458977013,False,True
SMTP,Frozen,0.0,1.0,0.278125,7.119303548466867e-55,0.0,0.006176640024476682,False,True
SSH,Frozen,0.0,1.0,0.3,6.449517286575716e-64,0.0,0.08070754910255801,False,True
IRC,Frozen,0.0,1.0,0.27875,4.018961680586135e-55,0.0,0.006051232084612933,False,True
TCP,Frozen,0.0,1.0,0.171875,4.7649757418820425e-21,0.0,0.028587787048322752,False,True
UDP,Frozen,0.0,1.0,0.245,1.5038458966231523e-42,0.0,0.0655196751633852,False,True
DHCP,Frozen,0.0,1.0,0.284375,2.201388689345593e-57,0.0,0.006002275221852073,False,True
ARP,Frozen,0.0,1.0,0.313125,1.0808803181637812e-69,0.0,0.03731620412244623,False,True
ICMP,Frozen,0.0,1.0,0.27875,4.018961680586135e-55,0.0,0.05464089229411,False,True
IGMP,Frozen,0.0,1.0,0.300625,3.4711481792238354e-64,0.0,0.006548047843637973,False,True
IPv,Frozen,0.0,1.0,0.33625,1.6230105837782024e-80,0.0,0.029930516323739623,False,True
LLC,Frozen,0.0,1.0,0.339375,4.8279846747774064e-82,0.0,0.03414006084440245,False,True
Tot sum,Full,0.414375,2.2632408087668727e-123,0.126875,1.2269392185846668e-11,0.07666196694619508,0.09492827876355475,True,True
Min,Full,0.319375,1.54992154646164e-72,0.155625,2.561957743396989e-17,0.8362048758193874,0.02969033922823146,True,True
Max,Full,0.463125,2.9413563365807415e-155,0.069375,0.000901676242560966,0.5097881848172257,0.02531862126208578,True,True
AVG,Full,0.35375,2.9077279864913473e-89,0.081875,4.357046871554015e-05,0.3095620483702601,0.042437435547617496,True,True
Std,Full,0.441875,7.429859935728794e-141,0.1175,4.87848665561801e-10,0.8089816253947358,0.029453327473293024,True,True
Tot size,Full,0.35375,2.9077279864913473e-89,0.054375,0.017626846469696214,0.3095620483702601,0.03353422210959252,True,True
IAT,Full,0.309375,5.139988231862666e-68,0.026875,0.610280509803141,0.39707296804746867,0.006166765999296336,True,False
Number,Full,0.494375,6.78727300365792e-178,0.206875,2.270394889145182e-30,0.055388901369296945,0.08573928800382645,True,True
Variance,Full,0.441875,7.429859935728794e-141,0.10375,6.460500871260886e-08,3.3770652415500786,0.048956231837896665,True,True
