test,feature,statistic,p_value
KS_latent,Header_Length,0.091875,2.6864097333168867e-06
KS_input,Header_Length,0.094375,1.2728712142507233e-06
Wasserstein_latent,Header_Length,0.06407069141030661,
Wasserstein_input,Header_Length,0.0703002623786597,
KS_latent,Protocol Type,0.0,1.0
KS_input,Protocol Type,0.1775,1.9895810200148205e-22
Wasserstein_latent,Protocol Type,0.0,
Wasserstein_input,Protocol Type,0.04865458811600092,
KS_latent,Time_To_Live,0.0,1.0
KS_input,Time_To_Live,0.123125,5.539669933608644e-11
Wasserstein_latent,Time_To_Live,0.0,
Wasserstein_input,Time_To_Live,0.00798205347067778,
KS_latent,Rate,0.02,0.9063442722533607
KS_input,Rate,0.083125,3.130355296430023e-05
Wasserstein_latent,Rate,0.0419305858315783,
Wasserstein_input,Rate,0.036162049608992684,
KS_latent,fin_flag_number,0.0,1.0
KS_input,fin_flag_number,0.31625,4.164671542702419e-71
Wasserstein_latent,fin_flag_number,0.0,
Wasserstein_input,fin_flag_number,0.02475837963668682,
KS_latent,syn_flag_number,0.0,1.0
KS_input,syn_flag_number,0.306875,6.562656655312525e-67
Wasserstein_latent,syn_flag_number,0.0,
Wasserstein_input,syn_flag_number,0.06549212665415431,
KS_latent,rst_flag_number,0.0,1.0
KS_input,rst_flag_number,0.316875,2.1623875973974593e-71
Wasserstein_latent,rst_flag_number,0.0,
Wasserstein_input,rst_flag_number,0.08669857788617918,
KS_latent,psh_flag_number,0.00875,0.9999999826390172
KS_input,psh_flag_number,0.275,1.216851679342283e-53
Wasserstein_latent,psh_flag_number,0.001120836623013012,
Wasserstein_input,psh_flag_number,0.07983539963158448,
KS_latent,ack_flag_number,0.114375,1.5628258950983837e-09
KS_input,ack_flag_number,0.186875,7.925393737527791e-25
Wasserstein_latent,ack_flag_number,0.0027225898392498737,
Wasserstein_input,ack_flag_number,0.0505794572608204,
KS_latent,ece_flag_number,0.0,1.0
KS_input,ece_flag_number,0.299375,1.1966990148151196e-63
Wasserstein_latent,ece_flag_number,0.0,
Wasserstein_input,ece_flag_number,0.005991537885720958,
KS_latent,cwr_flag_number,0.0,1.0
KS_input,cwr_flag_number,0.30875,9.736234489830277e-68
Wasserstein_latent,cwr_flag_number,0.0,
Wasserstein_input,cwr_flag_number,0.00658574105709249,
KS_latent,ack_count,0.05375,0.019641005528082067
KS_input,ack_count,0.15625,1.8709215736915308e-17
Wasserstein_latent,ack_count,0.024466468626633348,
Wasserstein_input,ack_count,0.03318538373119281,
KS_latent,syn_count,0.036875,0.2267861641240501
KS_input,syn_count,0.253125,2.0201221353138407e-45
Wasserstein_latent,syn_count,0.03912554990500221,
Wasserstein_input,syn_count,0.03149665341167747,
KS_latent,fin_count,0.0175,0.9671528654481818
KS_input,fin_count,0.28375,3.9475163670202387e-57
Wasserstein_latent,fin_count,0.011778948875144107,
Wasserstein_input,fin_count,0.037738504194865075,
KS_latent,rst_count,0.015625,0.9897974076683926
KS_input,rst_count,0.26375,2.5234103799546594e-49
Wasserstein_latent,rst_count,0.026390167325735063,
Wasserstein_input,rst_count,0.04209882072228708,
KS_latent,HTTP,0.0,1.0
KS_input,HTTP,0.27,1.064636973705171e-51
Wasserstein_latent,HTTP,0.0,
Wasserstein_input,HTTP,0.06270588414327222,
KS_latent,HTTPS,0.0,1.0
KS_input,HTTPS,0.27,1.064636973705171e-51
Wasserstein_latent,HTTPS,0.0,
Wasserstein_input,HTTPS,0.08360937068469866,
KS_latent,DNS,0.0,1.0
KS_input,DNS,0.299375,1.1966990148151196e-63
Wasserstein_latent,DNS,0.0,
Wasserstein_input,DNS,0.04096085746573863,
KS_latent,Telnet,0.0,1.0
KS_input,Telnet,0.28625,3.786794170147635e-58
Wasserstein_latent,Telnet,0.0,
Wasserstein_input,Telnet,0.006320289458977013,
KS_latent,SMTP,0.0,1.0
KS_input,SMTP,0.278125,7.119303548466867e-55
Wasserstein_latent,SMTP,0.0,
Wasserstein_input,SMTP,0.006176640024476682,
KS_latent,SSH,0.0,1.0
KS_input,SSH,0.3,6.449517286575716e-64
Wasserstein_latent,SSH,0.0,
Wasserstein_input,SSH,0.08070754910255801,
KS_latent,IRC,0.0,1.0
KS_input,IRC,0.27875,4.018961680586135e-55
Wasserstein_latent,IRC,0.0,
Wasserstein_input,IRC,0.006051232084612933,
KS_latent,TCP,0.0,1.0
KS_input,TCP,0.171875,4.7649757418820425e-21
Wasserstein_latent,TCP,0.0,
Wasserstein_input,TCP,0.028587787048322752,
KS_latent,UDP,0.0,1.0
KS_input,UDP,0.245,1.5038458966231523e-42
Wasserstein_latent,UDP,0.0,
Wasserstein_input,UDP,0.0655196751633852,
KS_latent,DHCP,0.0,1.0
KS_input,DHCP,0.284375,2.201388689345593e-57
Wasserstein_latent,DHCP,0.0,
Wasserstein_input,DHCP,0.006002275221852073,
KS_latent,ARP,0.0,1.0
KS_input,ARP,0.313125,1.0808803181637812e-69
Wasserstein_latent,ARP,0.0,
Wasserstein_input,ARP,0.03731620412244623,
KS_latent,ICMP,0.0,1.0
KS_input,ICMP,0.27875,4.018961680586135e-55
Wasserstein_latent,ICMP,0.0,
Wasserstein_input,ICMP,0.05464089229411,
KS_latent,IGMP,0.0,1.0
KS_input,IGMP,0.300625,3.4711481792238354e-64
Wasserstein_latent,IGMP,0.0,
Wasserstein_input,IGMP,0.006548047843637973,
KS_latent,IPv,0.0,1.0
KS_input,IPv,0.33625,1.6230105837782024e-80
Wasserstein_latent,IPv,0.0,
Wasserstein_input,IPv,0.029930516323739623,
KS_latent,LLC,0.0,1.0
KS_input,LLC,0.339375,4.8279846747774064e-82
Wasserstein_latent,LLC,0.0,
Wasserstein_input,LLC,0.03414006084440245,
KS_latent,Tot sum,0.07,0.0007842265918297535
KS_input,Tot sum,0.126875,1.2269392185846668e-11
Wasserstein_latent,Tot sum,0.05191358662421405,
Wasserstein_input,Tot sum,0.09492827876355475,
KS_latent,Min,0.19625,2.3591470057744834e-27
KS_input,Min,0.155625,2.561957743396989e-17
Wasserstein_latent,Min,0.6066400283165959,
Wasserstein_input,Min,0.02969033922823146,
KS_latent,Max,0.0625,0.003852736258361548
KS_input,Max,0.069375,0.000901676242560966
Wasserstein_latent,Max,0.028923275182605675,
Wasserstein_input,Max,0.02531862126208578,
KS_latent,AVG,0.070625,0.0006812195964186956
KS_input,AVG,0.081875,4.357046871554015e-05
Wasserstein_latent,AVG,0.048716212606486786,
