attack_class,method,metric,value,ci_low,ci_high,n_clean,n_attack,bootstrap_n_clean,bootstrap_n_attack,pc1_explained_variance_ratio,status,source_path,scaling
DoS,PGD,wasserstein_pc1,0.8560085755927452,0.46282715699090243,3.7116430448049145,133755,7548,2000,2000,0.8843916359810503,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,CW,wasserstein_pc1,0.6644210708913678,0.25029353124072445,3.405597511229327,133755,7548,2000,2000,0.8843916359810503,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,Latent-PGD,wasserstein_pc1,13.095340339054784,6.785162777528912,19.461567580945914,133755,100,2000,100,0.8843916359810503,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_DoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,Latent-CW,wasserstein_pc1,13.039747555906073,6.253713529245237,19.73802612746205,133755,100,2000,100,0.8843916359810503,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_DoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,cInput CPGD,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DoS,cInput CCW,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,PGD,wasserstein_pc1,0.5536205568833966,0.518364416086726,3.435330461963685,409984,23137,2000,2000,0.5557336011346314,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,CW,wasserstein_pc1,0.40724829828860737,0.3686871111167335,3.2796197528623527,409984,23137,2000,2000,0.5557336011346314,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,Latent-PGD,wasserstein_pc1,5.593191485635074,2.3976245738885473,15.112028769627466,409984,100,2000,100,0.5557336011346314,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_DDoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,Latent-CW,wasserstein_pc1,5.5656237875956815,2.3954096383718197,15.504824659911906,409984,100,2000,100,0.5557336011346314,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_DDoS.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
